Name,Platform,Genre,Global_Sales
Grand Theft Auto: San Andreas,PS2,Action,20.81
Grand Theft Auto V,PS3,Action,20.32
Grand Theft Auto V,PS4,Action,19.39
Grand Theft Auto: Vice City,PS2,Action,16.15
Grand Theft Auto V,X360,Action,15.86
Grand Theft Auto III,PS2,Action,13.1
Grand Theft Auto IV,X360,Action,11.09
Grand Theft Auto IV,PS3,Action,10.57
Uncharted 4: A Thief's End,PS4,Action,10.33
Grand Theft Auto V,XOne,Action,8.72
Grand Theft Auto: Liberty City Stories,PSP,Action,7.72
Uncharted 3: Drake's Deception,PS3,Action,6.84
Uncharted 2: Among Thieves,PS3,Action,6.74
Red Dead Redemption,PS3,Action,6.57
Red Dead Redemption,X360,Action,6.5
Driver,PS,Action,6.27
God of War (2018),PS4,Action,6.15
Metal Gear Solid 2: Sons of Liberty,PS2,Action,6.05
Metal Gear Solid,PS,Action,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,6.0
Resident Evil 2,PS,Action,5.82
Uncharted: The Nathan Drake Collection,PS4,Action,5.7
LEGO Star Wars: The Complete Saga,Wii,Action,5.66
Assassin's Creed II,PS3,Action,5.57
Assassin's Creed,X360,Action,5.55
Batman: Arkham City,PS3,Action,5.54
Assassin's Creed II,X360,Action,5.3
Resident Evil 5,PS3,Action,5.1
Grand Theft Auto: Vice City Stories,PSP,Action,5.08
Resident Evil,PS,Action,5.05
Uncharted: Drake's Fortune,PS3,Action,4.97
Assassin's Creed,PS3,Action,4.83
God of War III,PS3,Action,4.81
LEGO Star Wars: The Complete Saga,DS,Action,4.77
Batman: Arkham City,X360,Action,4.75
Driver 2,PS,Action,4.73
Monster Hunter: World,PS4,Action,4.67
The Lord of the Rings: The Two Towers,PS2,Action,4.67
Tomb Raider,PS,Action,4.63
Spider-Man: The Movie,PS2,Action,4.48
God of War,PS2,Action,4.45
Batman: Arkham Asylum,PS3,Action,4.28
Assassin's Creed: Revelations,PS3,Action,4.23
Metal Gear Solid 3: Snake Eater,PS2,Action,4.23
Assassin's Creed: Revelations,X360,Action,4.22
Frogger,PS,Action,4.16
Assassin's Creed: Unity,PS4,Action,4.14
Batman: Arkham Knight,PS4,Action,4.11
God of War II,PS2,Action,4.07
Assassin's Creed Origins,PS4,Action,4.06
Far Cry 5,PS4,Action,3.95
Resident Evil Director's Cut,PS,Action,3.77
Harry Potter and the Sorcerer's Stone,PS,Action,3.73
Resident Evil 3: Nemesis,PS,Action,3.72
Resident Evil 4,PS2,Action,3.62
Luigi's Mansion,GC,Action,3.6
Assassin's Creed Syndicate,PS4,Action,3.6
Assassin's Creed: Unity,XOne,Action,3.58
Monster Hunter Generations,3DS,Action,3.56
Grand Theft Auto: Liberty City Stories,PS2,Action,3.54
The Getaway,PS2,Action,3.54
Batman: Arkham Asylum,X360,Action,3.54
Assassin's Creed: Brotherhood,X360,Action,3.53
LEGO Star Wars: The Video Game,PS2,Action,3.53
Resident Evil 5,X360,Action,3.53
Rugrats in Paris: The Movie,PS,Action,3.52
Kung Fu,NES,Action,3.5
Grand Theft Auto 2,PS,Action,3.42
Spider-Man 2,PS2,Action,3.41
Watch Dogs 2,PS4,Action,3.36
Star Wars Episode III: Revenge of the Sith,PS2,Action,3.32
Resident Evil VII: Biohazard,PS4,Action,3.31
The Lord of the Rings: The Return of the King,PS2,Action,3.28
True Crime: Streets of LA,PS2,Action,3.27
God of War: Chains of Olympus,PSP,Action,3.19
Middle-Earth: Shadow of Mordor,PS4,Action,3.19
Enter the Matrix,PS2,Action,3.18
Spider-Man,PS,Action,3.13
Resident Evil 6,PS3,Action,3.12
Saints Row 2,X360,Action,3.07
Metal Gear Solid V: The Phantom Pain,PS4,Action,3.04
Tom Clancy's Splinter Cell,XB,Action,3.02
inFAMOUS,PS3,Action,2.99
Devil May Cry,PS2,Action,2.99
Hitman 2: Silent Assassin,PS2,Action,2.96
Assassin's Creed: Brotherhood,PS3,Action,2.85
Skylanders: Spyro's Adventure,Wii,Action,2.79
Star Wars: The Force Unleashed,X360,Action,2.77
Saints Row: The Third,X360,Action,2.77
Onimusha: Warlords,PS2,Action,2.7
LEGO Star Wars II: The Original Trilogy,PS2,Action,2.69
Hannah Montana,DS,Action,2.65
Tom Clancy's Splinter Cell,PS2,Action,2.65
Star Wars: Shadows of the Empire,N64,Action,2.65
God of War Collection,PS3,Action,2.6
Streets of Rage,GEN,Action,2.6
LEGO Star Wars: The Complete Saga,X360,Action,2.59
Tomb Raider (2013),PS3,Action,2.51
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,2.49
Saints Row: The Third,PS3,Action,2.48
Tomb Raider: The Last Revelation,PS,Action,2.48
Assassin's Creed Origins,XOne,Action,2.47
Dying Light,PS4,Action,2.45
New Super Luigi U,WiiU,Action,2.42
Dino Crisis,PS,Action,2.41
God of War: Ascension,PS3,Action,2.4
Dead Island,X360,Action,2.38
The Incredibles,PS2,Action,2.37
Uncharted: The Lost Legacy,PS4,Action,2.37
Lego Marvel Super Heroes,X360,Action,2.34
Resident Evil - Code: Veronica X,PS2,Action,2.34
Assassin's Creed IV: Black Flag,XOne,Action,2.32
Grand Theft Auto,PS,Action,2.32
LEGO Star Wars: The Complete Saga,PS3,Action,2.31
Dead Island,PS3,Action,2.29
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Action,2.23
Star Wars: The Force Unleashed,PS3,Action,2.22
Devil May Cry 3: Dante's Awakening Special Edition,PS2,Action,2.21
Frogger,2600,Action,2.2
Saints Row,X360,Action,2.18
Final Fantasy Tactics Advance,GBA,Action,2.13
Dynasty Warriors 4,PS2,Action,2.11
Devil May Cry 3: Dante's Awakening,PS2,Action,2.09
Finding Nemo,PS2,Action,2.09
Dead Rising,X360,Action,2.09
Metal Gear Solid: Peace Walker,PSP,Action,2.08
The Incredibles,GBA,Action,2.06
Hitman: Absolution,PS3,Action,2.06
Toy Story 3: The Video Game,DS,Action,2.06
Tom Clancy's Splinter Cell: Conviction,X360,Action,2.06
Middle-Earth: Shadow of War,PS4,Action,2.04
Peter Jackson's King Kong: The Official Game of the Movie,PS2,Action,2.04
Tenchu: Stealth Assassins,PS,Action,1.99
Resident Evil 6,X360,Action,1.97
Devil May Cry 2,PS2,Action,1.97
E.T.: The Extra Terrestrial,2600,Action,1.97
Dishonored 2,PS4,Action,1.97
Lego Marvel Super Heroes,PS3,Action,1.96
Grand Theft Auto: San Andreas,XB,Action,1.95
Lego Marvel Super Heroes,PS4,Action,1.91
Tomb Raider (2013),X360,Action,1.9
inFAMOUS 2,PS3,Action,1.87
Dynasty Warriors 3,PS2,Action,1.87
Star Wars: The Force Unleashed,Wii,Action,1.86
The Evil Within,PS4,Action,1.86
Phineas and Ferb,DS,Action,1.85
LEGO Star Wars III: The Clone Wars,Wii,Action,1.79
SpongeBob SquarePants: SuperSponge,PS,Action,1.78
The Getaway: Black Monday,PS2,Action,1.78
Far Cry 5,XOne,Action,1.78
50 Cent: Bulletproof,PS2,Action,1.77
State of Emergency,PS2,Action,1.76
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Action,1.76
Kinect Star Wars,X360,Action,1.76
Just Cause 2,PS3,Action,1.75
For Honor,PS4,Action,1.75
LEGO City Undercover: The Chase Begins,3DS,Action,1.74
Twisted Metal III,PS,Action,1.73
Harry Potter and the Sorcerer's Stone,GB,Action,1.73
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,1.72
Hitman: Absolution,X360,Action,1.7
Ben 10: Protector of Earth,DS,Action,1.7
Saints Row IV,X360,Action,1.69
Harry Potter and the Sorcerer's Stone,GBA,Action,1.69
Resident Evil 4,GC,Action,1.69
Saints Row 2,PS3,Action,1.68
Monster Hunter Double Cross,3DS,Action,1.68
Star Wars The Clone Wars: Lightsaber Duels,Wii,Action,1.65
Heavenly Sword,PS3,Action,1.65
Dead Rising 3,XOne,Action,1.63
Uncharted: Golden Abyss,PSV,Action,1.62
Just Cause 2,X360,Action,1.6
Devil May Cry 4,PS3,Action,1.58
Batman: Arkham Knight,XOne,Action,1.58
LEGO Pirates of the Caribbean: The Video Game,Wii,Action,1.57
Hannah Montana: Music Jam,DS,Action,1.56
Twisted Metal,PS,Action,1.56
Final Fight,SNES,Action,1.56
Mafia II,X360,Action,1.56
Spider-Man 2: Enter: Electro,PS,Action,1.55
Pac-Man World 2,PS2,Action,1.51
Star Wars: The Force Unleashed II,PS3,Action,1.51
Dragon Ball: Xenoverse 2,PS4,Action,1.5
Metal Gear Rising: Revengeance,PS3,Action,1.5
Pac-Man World,PS,Action,1.5
Mafia II,PS3,Action,1.49
Dead Rising 2,X360,Action,1.49
LEGO Star Wars III: The Clone Wars,X360,Action,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Action,1.48
Dying Light,XOne,Action,1.47
Ryse: Son of Rome,XOne,Action,1.47
The SpongeBob SquarePants Movie,GBA,Action,1.46
Resident Evil 4,Wii,Action,1.46
Onimusha 3: Demon Siege,PS2,Action,1.45
Resident Evil Outbreak,PS2,Action,1.45
Assassin's Creed Syndicate,XOne,Action,1.44
Star Wars: The Force Unleashed II,X360,Action,1.44
Frogger 2: Swampy's Revenge,PS,Action,1.43
