,Title,Sales,Platform,Date,Genre
0, Halo Wars 2,0.51m,XOne,21st Feb 17  ,Strategy
1, Culdcept,0.29m,3DS,03rd Oct 17  ,Strategy
2, Sid Meier's Civilization VI,0.25m,NS,16th Nov 18  ,Strategy
3, Valkyria Chronicles 4,0.19m,NS,25th Sep 18  ,Strategy
5, Super Robot Wars X,0.13m,PS4,29th Mar 18  ,Strategy
6, Constructor HD,0.11m,PS4,11th Jul 17  ,Strategy
7, Sudden Strike 4,0.10m,PS4,15th Aug 17  ,Strategy
8, Culdcept Revolt,0.07m,3DS,03rd Oct 17  ,Strategy
9, The Banner Saga Trilogy - Bonus Edition,0.07m,PS4,27th Jul 18  ,Strategy
10, Constructor HD,0.07m,XOne,11th Jul 17  ,Strategy
11, Super Robot Wars X,0.07m,PSV,29th Mar 18  ,Strategy
12, Nobunaga's Ambition: Taishi,0.06m,PS4,05th Jun 18  ,Strategy
13, Aven Colony,0.06m,XOne,01st Aug 17  ,Strategy
14, Aven Colony,0.06m,PS4,01st Aug 17  ,Strategy
15, The Banner Saga Trilogy - Bonus Edition,0.05m,XOne,27th Jul 18  ,Strategy
16, Dungeons 3,0.04m,PS4,17th Oct 17  ,Strategy
17, SD Gundam G Generation Genesis,0.04m,NS,26th Apr 18  ,Strategy
18," Warhammer 40,000: Dawn of War III",0.04m,PC,27th Apr 17  ,Strategy
19, Shadow Tactics: Blades of the Shogun,0.04m,PS4,01st Aug 17  ,Strategy
20, 8-Bit Armies,0.03m,PS4,21st Sep 18  ,Strategy
21, Future Card Buddyfight Mezase! Buddy Champion!,0.03m,3DS,16th Mar 17  ,Strategy
22, 8-Bit Armies,0.03m,XOne,21st Sep 18  ,Strategy
23, Dynasty Warriors: Godseekers,0.03m,PS4,31st Jan 17  ,Strategy
24, Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,0.03m,NS,03rd Mar 17  ,Strategy
25, Blackguards 2,0.03m,PS4,12th Sep 17  ,Strategy
26, Dynasty Warriors: Godseekers,0.03m,PSV,31st Jan 17  ,Strategy
27, God Wars The Complete Legend,0.03m,NS,04th Sep 18  ,Strategy
28, Sudden Strike 4,0.02m,XOne,26th Jun 18  ,Strategy
29, Space Hulk Tactics,0.02m,PS4,09th Oct 18  ,Strategy
30, This Is the Police 2,0.02m,PS4,25th Sep 18  ,Strategy
31,  No Heroes Allowed! VR,0.02m,PS4,17th Oct 17  ,Strategy
32, ArmaGallant: Decks of Destiny,0.02m,PS4,04th Apr 17  ,Strategy
33, Armello,0.02m,PS4,13th Mar 18  ,Strategy
34, This Is the Police 2,0.02m,XOne,25th Sep 18  ,Strategy
35, Space Hulk Tactics,0.02m,XOne,09th Oct 18  ,Strategy
