Name,Main story duration,Duration hrs
Grand Theft Auto: San Andreas,31 Hours,31.0
Grand Theft Auto V,31.5 Hours,31.5
Grand Theft Auto: Vice City,18.5 Hours,18.5
Grand Theft Auto III,15 Hours,15.0
Grand Theft Auto IV,27.5 Hours,27.5
Grand Theft Auto IV: The Complete Edition,35 Hours,35.0
Grand Theft Auto IV: The Ballad of Gay Tony,8.5 Hours,8.5
Grand Theft Auto IV: The Lost and Damned,7 Hours,7.0
Grand Theft Auto: Vice City Stories,16 Hours,16.0
Grand Theft Auto Advance,6.5 Hours,6.5
Uncharted 4: A Thief's End,15 Hours,15.0
Grand Theft Auto: Liberty City Stories,14 Hours,14.0
Uncharted 3: Drake's Deception,9 Hours,9.0
Uncharted 2: Among Thieves,10.5 Hours,10.5
Red Dead Redemption,18 Hours,18.0
Red Dead Redemption 2,49 Hours,49.0
Red Dead Redemption: Undead Nightmare,7 Hours,7.0
Red Dead Redemption: Game of the Year Edition,22.5 Hours,22.5
Driver,12.5 Hours,12.5
Race Driver: Grid,20.5 Hours,20.5
Zombie Driver HD,5 Hours,5.0
Driver: San Francisco,9 Hours,9.0
Driver: Parallel Lines,10 Hours,10.0
Bus Driver,7 Hours,7.0
TOCA Race Driver 3,36 Hours,36.0
TOCA Race Driver 2,13 Hours,13.0
Driver 2,15 Hours,15.0
Driv3r,10.5 Hours,10.5
Driver 76,7 Hours,7.0
World Driver Championship,35 Hours,35.0
TOCA Race Driver,12.5 Hours,12.5
Hot Wheels: World's Best Driver,--,
Night Driver,5 Mins,0.08333333333333333
Blonde Driver,--,
Driver: Renegade,2.5 Hours,2.5
Zombie Driver: Ultimate Edition,6 Hours,6.0
Truck Driver,17.5 Hours,17.5
Ion Driver,--,
Metal Gear Solid 2: Sons of Liberty,13 Hours,13.0
Metal Gear Solid,5 Hours,5.0
Metal Gear Solid V: The Phantom Pain,45.5 Hours,45.5
Metal Gear Solid V: Ground Zeroes,2 Hours,2.0
Metal Gear Solid 4: Guns of the Patriots,18.5 Hours,18.5
Metal Gear Solid 3: Snake Eater,16 Hours,16.0
Metal Gear Solid: Peace Walker,18 Hours,18.0
Metal Gear Solid 3: Subsistence,16 Hours,16.0
Metal Gear Solid: The Twin Snakes,10 Hours,10.0
Metal Gear Solid 2: Substance,13.5 Hours,13.5
Metal Gear Solid: Portable Ops,11.5 Hours,11.5
Metal Gear 2: Solid Snake,6 Hours,6.0
Metal Gear Solid: Snake Eater 3D,16.5 Hours,16.5
Metal Gear Solid: VR Missions,15.5 Hours,15.5
Metal Gear Solid: Digital Graphic Novel,2.5 Hours,2.5
Metal Gear Solid: Portable Ops Plus,5 Hours,5.0
Resident Evil 2,6 Hours,6.0
Resident Evil: Revelations 2,10.5 Hours,10.5
Resident Evil,11 Hours,11.0
Resident Evil 7: Biohazard - Banned Footage Vol. 2,1.5 Hours,1.5
Resident Evil: Revelations 2 - Little Miss,38 Mins,0.6333333333333333
Resident Evil: Revelations 2 - The Struggle,45 Mins,0.75
Resident Evil Outbreak File 2,10 Hours,10.0
Resident Evil: Revelations 2 - Episode 1,2 Hours,2.0
Resident Evil: Operation Raccoon City - Echo Six Expansion Pack 2,1.5 Hours,1.5
Resident Evil: Survivor 2 - Code: Veronica,43 Mins,0.7166666666666667
Resident Evil 2 - The Ghost Survivors,1.5 Hours,1.5
Resident Evil: Revelations 2 - Episode 4,2 Hours,2.0
Resident Evil - Confidential Report File #2,1 Hours,1.0
Resident Evil: Revelations 2 - Episode 3,2.5 Hours,2.5
Resident Evil: Revelations 2 - Episode 2,2.5 Hours,2.5
LEGO Star Wars: The Complete Saga,13.5 Hours,13.5
Assassin's Creed II,19 Hours,19.0
Assassin's Creed III,16 Hours,16.0
Assassin's Creed III: Remastered,14.5 Hours,14.5
Assassin's Creed III: Liberation,8 Hours,8.0
Assassin's Creed II: Battle of Forli DLC,1.5 Hours,1.5
Assassin's Creed II: Bonfire of the Vanities DLC,2 Hours,2.0
Assassin's Creed III: The Tyranny of King Washington DLC,5 Hours,5.0
Assassin's Creed III: Benedict Arnold DLC,40 Mins,0.6666666666666666
Assassin's Creed III: The Tyranny of King Washington - The Betrayal DLC,1.5 Hours,1.5
Assassin's Creed III: The Tyranny of King Washington - The Infamy DLC,2 Hours,2.0
Assassin's Creed III: The Tyranny of King Washington - The Redemption DLC,2 Hours,2.0
Assassin's Creed II: Discovery,3 Hours,3.0
Assassin's Creed,15 Hours,15.0
Assassin's Creed Odyssey,43.5 Hours,43.5
Assassin's Creed Origins,30 Hours,30.0
Assassin's Creed IV: Black Flag,23 Hours,23.0
Assassin's Creed Valhalla,59.5 Hours,59.5
Assassin's Creed: Brotherhood,15 Hours,15.0
Assassin's Creed: Unity,17 Hours,17.0
Assassin's Creed: Revelations,12.5 Hours,12.5
Assassin's Creed: Syndicate,18.5 Hours,18.5
Assassin's Creed: Rogue,10.5 Hours,10.5
Assassin's Creed: Freedom Cry,4.5 Hours,4.5
Assassin's Creed Chronicles: China,6 Hours,6.0
Assassin's Creed Chronicles: Russia,6.5 Hours,6.5
Assassin's Creed Chronicles: India,5.5 Hours,5.5
Assassin's Creed Odyssey - The Fate of Atlantis,14 Hours,14.0
Batman: Arkham City,12.5 Hours,12.5
Batman: Arkham City GOTY,13.5 Hours,13.5
Batman: Arkham City - Harley Quinn's Revenge,2 Hours,2.0
Batman: Arkham City - Catwoman,1.5 Hours,1.5
Batman: Arkham City - Armoured Edition,12.5 Hours,12.5
Batman: Arkham City Lockdown,4.5 Hours,4.5
Resident Evil 5,12 Hours,12.0
Resident Evil 5: Gold Edition,12 Hours,12.0
Resident Evil 5: Lost In Nightmares DLC,1 Hours,1.0
Resident Evil 5: Desperate Escape DLC,59 Mins,0.9833333333333333
Uncharted: Drake's Fortune,8 Hours,8.0
Pinball Heroes - Uncharted: Drake's Fortune,--,
God of War III,10 Hours,10.0
Shining Force III,35 Hours,35.0
Monster Hunter: World,47.5 Hours,47.5
Monster Hunter: World - Iceborne,36.5 Hours,36.5
The Lord of the Rings: The Two Towers,6 Hours,6.0
Tomb Raider,12.5 Hours,12.5
Tomb Raider (Slots),15 Mins,0.25
Rise of the Tomb Raider,13.5 Hours,13.5
Shadow of the Tomb Raider,12.5 Hours,12.5
Shadow of the Tomb Raider: Definitive Edition,11 Hours,11.0
Rise of the Tomb Raider: 20 Year Celebration,15 Hours,15.0
Tomb Raider: Anniversary,12.5 Hours,12.5
Tomb Raider: Legend,7 Hours,7.0
Tomb Raider: Underworld,10 Hours,10.0
Tomb Raider II,15.5 Hours,15.5
Tomb Raider III: Adventures of Lara Croft,18.5 Hours,18.5
Tomb Raider: The Last Revelation,16.5 Hours,16.5
Tomb Raider Chronicles,11 Hours,11.0
Tomb Raider: The Angel of Darkness,15 Hours,15.0
Tomb Raider II: The Golden Mask,5 Hours,5.0
Rise of the Tomb Raider - Cold Darkness Awakened,1 Hours,1.0
Rise of the Tomb Raider - Blood Ties,1 Hours,1.0
Shadow of the Tomb Raider: The Nightmare,44 Mins,0.7333333333333333
Spider-Man: The Movie,6 Hours,6.0
God of War,9 Hours,9.0
God of War II,12 Hours,12.0
God of War: Chains of Olympus,5.5 Hours,5.5
God of War: Ascension,8.5 Hours,8.5
God of War: Ghost of Sparta,6.5 Hours,6.5
God of War: Ragnarök,--,
God of War: Betrayal,2 Hours,2.0
God of War: A Call from the Wilds,45 Mins,0.75
Heroes of Myths - Warriors of Gods,--,
Batman: Arkham Asylum,12 Hours,12.0
Batman: Arkham Asylum GOTY,11 Hours,11.0
Frogger,7 Hours,7.0
Frogger 2: Swampy's Revenge,1.5 Hours,1.5
Frogger Beyond,6 Hours,6.0
Frogger's Adventures: The Rescue,6 Hours,6.0
Frogger: Helmet Chaos,5 Hours,5.0
Frogger's Adventures: Temple of the Frog,42 Mins,0.7
Frogger 3D,--,
Frogger: Ancient Shadow,8 Hours,8.0
Frogger: The Great Quest,3.5 Hours,3.5
Frogger's Journey: The Forgotten Relic,--,
Frogger's Adventures 2: The Lost Wand,3 Hours,3.0
Frogger Advance: The Great Quest,59 Mins,0.9833333333333333
Frogger Returns,1 Hours,1.0
Frogger: Hyper Arcade Edition,--,
My Frogger: Toy Trials,4.5 Hours,4.5
Frogger in Toy Town,--,
Frogger II: ThreeeDeep!,--,
Frogger 2,--,
Batman: Arkham Knight,16.5 Hours,16.5
Batman: Arkham Knight - Premium Edition,22.5 Hours,22.5
Batman: Arkham Knight - Season of Infamy: Most Wanted,3 Hours,3.0
Batman: Arkham Knight - Red Hood Story Pack,23 Mins,0.38333333333333336
Batman: Arkham Knight - Catwoman's Revenge,36 Mins,0.6
Batman: Arkham Knight - Harley Quinn Story Pack,24 Mins,0.4
Batman: Arkham Knight - A Flip of a Coin,27 Mins,0.45
Batman: Arkham Knight - A Matter of Family,1 Hours,1.0
Batman: Arkham Knight - GCPD Lockdown,27 Mins,0.45
Batman: Arkham Knight - 2008 Tumbler Batmobile Pack,--,
Batman: Arkham Knight - Crime Fighter Challenge Pack #1,--,
Batman: Arkham Knight - Crime Fighter Challenge Pack #2,--,
Batman: Arkham Knight - Crime Fighter Challenge Pack #3,--,
Batman: Arkham Knight - Crime Fighter Challenge Pack #4,--,
Batman: Arkham Knight - Crime Fighter Challenge Pack #5,--,
Batman: Arkham Knight - Batman Classic TV Series Batmobile Pack,--,
Batman: Arkham Knight - WayneTech Track Pack,--,
Batman: Arkham Knight - 1989 Movie Batmobile Pack,--,
Far Cry 5,18 Hours,18.0
Far Cry 5: Hours of Darkness,1.5 Hours,1.5
Far Cry 5: Dead Living Zombies,2 Hours,2.0
Far Cry 5: Lost On Mars,4.5 Hours,4.5
Resident Evil: Director's Cut,6.5 Hours,6.5
Harry Potter and the Sorcerer's Stone,6 Hours,6.0
Resident Evil 3: Nemesis,6.5 Hours,6.5
Resident Evil 4,15.5 Hours,15.5
Resident Evil 4: Separate Ways,3.5 Hours,3.5
Resident Evil - Confidential Report File #4,1.5 Hours,1.5
Luigi's Mansion,6.5 Hours,6.5
Luigi's Mansion 3,13 Hours,13.0
Luigi's Mansion: Dark Moon,14 Hours,14.0
