Name,Franchise,Rating igdb,Rating count igdb,Follows igdb,Name normalizes
Grand Theft Auto: San Andreas,Grand theft Auto,90.18243164219561,2255.0,983.0,GRAND THEFT AUTO: SAN ANDREAS
Grand Theft Auto V,Grand theft Auto,90.21184381027601,3357.0,1759.0,GRAND THEFT AUTO V
Grand Theft Auto: Vice City,Grand theft Auto,87.6039262133489,1816.0,769.0,GRAND THEFT AUTO: VICE CITY
Grand Theft Auto III,Grand theft Auto,85.2564750996751,1058.0,367.0,GRAND THEFT AUTO III
Grand Theft Auto IV,Grand theft Auto,82.8799529888077,1194.0,460.0,GRAND THEFT AUTO IV
Uncharted 4: A Thief's End,Uncharted,91.7351392986874,1507.0,629.0,UNCHARTED 4: A THIEF'S END
Grand Theft Auto: Liberty City Stories,Grand theft Auto,72.8531378519275,127.0,52.0,GRAND THEFT AUTO: LIBERTY CITY STORIES
Uncharted 3: Drake's Deception,Uncharted,85.3498720861581,1102.0,401.0,UNCHARTED 3: DRAKE'S DECEPTION
Uncharted 2: Among Thieves,Uncharted,89.6524170673494,1476.0,553.0,UNCHARTED 2: AMONG THIEVES
Red Dead Redemption,Red Dead,89.4111369647063,1501.0,610.0,RED DEAD REDEMPTION
Driver,,76.3695002393633,142.0,52.0,DRIVER
,,,,,GOD OF WAR (2018)
Metal Gear Solid 2: Sons of Liberty,Metal Gear,88.3251803340826,619.0,215.0,METAL GEAR SOLID 2: SONS OF LIBERTY
Metal Gear Solid VR Missions,Metal Gear,70.10123234938,33.0,9.0,METAL GEAR SOLID
Metal Gear Solid 4: Guns of the Patriots,Metal Gear,87.33271129166519,507.0,214.0,METAL GEAR SOLID 4: GUNS OF THE PATRIOTS
Resident Evil 2,Resident Evil,87.79449749378489,540.0,123.0,RESIDENT EVIL 2
Uncharted: The Nathan Drake Collection,Uncharted,89.46348555276961,183.0,149.0,UNCHARTED: THE NATHAN DRAKE COLLECTION
LEGO Star Wars: The Complete Saga,Star Wars,82.6415613980585,246.0,57.0,LEGO STAR WARS: THE COMPLETE SAGA
Assassin's Creed II,Assassin's Creed,87.10723776643601,1924.0,772.0,ASSASSIN'S CREED II
Assassin's Creed II,Assassin's Creed,87.10723776643601,1924.0,772.0,ASSASSIN'S CREED
Batman: Arkham City,Batman,87.4105396921972,1637.0,611.0,BATMAN: ARKHAM CITY
Resident Evil 5,Resident Evil,74.7206225145949,523.0,140.0,RESIDENT EVIL 5
Grand Theft Auto: Vice City Stories,Grand theft Auto,74.6263814814545,126.0,49.0,GRAND THEFT AUTO: VICE CITY STORIES
Resident Evil 2 + Resident Evil 3 Bundle,,,,,RESIDENT EVIL
Uncharted: Drake's Fortune,Uncharted,77.05677886586611,859.0,274.0,UNCHARTED: DRAKE'S FORTUNE
God of War III,God of War,86.2455984093244,522.0,184.0,GOD OF WAR III
Hard Driver 2,,,,,DRIVER 2
Monster Hunter: World,Monster Hunter,84.74678460943841,327.0,363.0,MONSTER HUNTER: WORLD
The Lord of the Rings: The Two Towers,The Lord of the Rings,75.9242116109016,84.0,24.0,THE LORD OF THE RINGS: THE TWO TOWERS
Tomb Raider,Tomb Raider,81.73826952824429,287.0,110.0,TOMB RAIDER
,,,,,SPIDER-MAN: THE MOVIE
God of War,God of War,94.87573036161051,1469.0,506.0,GOD OF WAR
Batman: Arkham Asylum,Batman,86.3850173698583,1817.0,682.0,BATMAN: ARKHAM ASYLUM
Assassin's Creed: Revelations,Assassin's Creed,76.8872736669568,815.0,292.0,ASSASSIN'S CREED: REVELATIONS
Metal Gear Solid 3: Snake Eater,Metal Gear,92.7765207802954,839.0,311.0,METAL GEAR SOLID 3: SNAKE EATER
Frogger,Frogger,66.49586142096909,47.0,12.0,FROGGER
Assassin's Creed: Unity,Assassin's Creed,71.5621815524043,581.0,238.0,ASSASSIN'S CREED: UNITY
Batman: Arkham Knight - Batman Inc. Skin,Batman,,,,BATMAN: ARKHAM KNIGHT
God of War II,God of War,86.8284768388231,760.0,233.0,GOD OF WAR II
Assassin's Creed: Origins,Assassin's Creed,82.96901214778471,612.0,424.0,ASSASSIN'S CREED ORIGINS
Far Cry 5,,75.6179065318142,448.0,393.0,FAR CRY 5
Resident Evil: Director's Cut,Resident Evil,79.978509448875,29.0,3.0,RESIDENT EVIL DIRECTOR'S CUT
Harry Potter and the Sorcerer's Stone,Harry Potter,73.66555556230941,209.0,70.0,HARRY POTTER AND THE SORCERER'S STONE
Resident Evil 3: Nemesis,Resident Evil,80.74611982142059,294.0,106.0,RESIDENT EVIL 3: NEMESIS
Resident Evil 4,Resident Evil,,,,RESIDENT EVIL 4
Luigi's Mansion,Mario,80.8966569554451,18.0,2.0,LUIGI'S MANSION
Assassin's Creed: Syndicate,Assassin's Creed,74.9882452253255,499.0,238.0,ASSASSIN'S CREED SYNDICATE
