game_key,Name,Platform,Franchise,Follows,Release date
0-day-attack-on-earth,0 Day Attack on Earth,X360,,1,1261526400
0-ji-no-kane-to-cinderella-halloween-wedding,0 Ji no Kane to Cinderella ~Halloween Wedding~,PSP,,0,1369267200
007-legends,007 Legends,X360,James Bond,6,1351641600
007-legends-eve,007 Legends: Eve,PC,James Bond,1,1353369600
007-legends-skyfall,007 Legends: Skyfall,X360,James Bond,0,1353369600
007-legends-patrice,007 Legends: Patrice,X360,James Bond,0,1356912000
007-racing,007 Racing,PS,James Bond,1,976838400
1-2-switch,1-2-Switch,NS,,5,1488499200
1-dot-dot-dot-2-dot-dot-dot-3-dot-dot-dot-kick-it-drop-that-beat-like-an-ugly-baby,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),PC,,1,1301616000
1-vs-100,1 vs. 100,X360,,1,1258588800
10-minute-solution,10 Minute Solution,Wii,,0,1277769600
10-pin-bowling,10-Pin Bowling,GBC,,0,933465600
10-pin-shuffle-pro-bowling,10 Pin Shuffle Pro Bowling,iOS,,0,1243209600
10-second-run-returns,10 Second Run RETURNS,NS,,0,1516838400
10-yard-fight,10-Yard Fight,SNES,,1,498441600
arcade-archives-10-yard-fight,Arcade Archives: 10-Yard Fight,NS,,0,1525219200
100-all-time-favorites,100 All-Time Favorites,DS,,0,1256601600
100-bullets,100 Bullets,X360,100 bullets,1,1262217600
100-classic-book-collection,100 Classic Book Collection,DS,,0,1230249600
100-classic-games,100 Classic Games,DS,,0,1302134400
100-doors-of-artifact-room-escape-challenge,100 doors of artifact: Room Escape Challenge,iOS,casual,0,1616803200
1000-cooking-recipes-from-elle-a-table,1000 Cooking Recipes from Elle à Table,DS,,0,1278028800
1000-tiny-claws,1000 Tiny Claws,PSP,,0,1317686400
10000-bullets,"10,000 Bullets",PS2,,2,1128556800
10000000,10000000,PC,,4,1329436800
1001-blockbusters,1001 BlockBusters,DSi,,0,1331164800
1001-crystal-mazes-collection,1001 Crystal Mazes Collection,DSi,,0,1291939200
1001-spikes,1001 Spikes,PC,,5,1401753600
aban-hawkins-and-the-1001-spikes,"Aban Hawkins and the 1,001 Spikes",PC,,0,1295308800
