Name,Slug,Playtime,Metacritic,Platforms,Platforms count,Rating,Rating count,Reviews text count,Score,ESRD Rating,Reviews count,Genres,Released,Rawg_id,Suggestions count
007 Legends,007-legends,1,37.0,"pc,xbox 360,playstation 3,wii u",4.0,2.73,33,0,72.938194,Teen,33,"shooter,action",2012-10-16,5505,673
007 Racing,007-racing,0,,playstation,1.0,4.0,12,0,55.88144,,12,racing,2000-11-20,52647,299
1-2-Switch,1-2-switch,0,58.0,nintendo switch,1.0,3.05,58,2,25.270872,Everyone 10+,60,family,2017-03-03,28025,146
1 vs. 100,1-vs-100,0,,nintendo ds,1.0,0.0,0,0,76.5033,,0,,2008-06-24,25511,0
10-IN-ONE,10-in-one,0,,playstation 3,1.0,0.0,0,0,29.303642,Teen,0,,2016-10-13,1048,366
10 Minute Solution,10-minute-solution,0,,wii,1.0,0.0,0,0,65.341515,,0,arcade,2010-06-29,330867,0
100 Classic Books,100-classic-books,0,,nintendo ds,1.0,0.0,0,0,81.53235,,0,action,2010-06-13,26408,63
100 Classic Games,100-classic-games,0,,nintendo ds,1.0,0.0,0,0,56.101192,,0,,2012-01-03,26839,177
1001 Crosswords,1001-crosswords,0,,nintendo ds,1.0,0.0,1,0,60.40477,,1,,2012-11-02,331824,0
1001 Touch Games,1001-touch-games,0,,nintendo ds,1.0,0.0,0,0,57.219288,,0,arcade,2011-08-26,331825,0
101-in-1 Explosive Megamix,101-in-1-explosive-megamix,0,,"nintendo ds,wii",2.0,0.0,0,0,104.382675,,0,arcade,2011-10-13,24278,164
101-in-1 Party Megamix,101-in-1-party-megamix,0,,wii,1.0,0.0,0,0,60.87731,,0,,2009-10-20,26115,311
101-In-1 Sports Megamix,101-in-1-sports-megamix,0,,nintendo ds,1.0,0.0,0,0,101.58061,,0,"arcade,sports",2010-09-07,331584,0
101-in-1 Sports Party Megamix,101-in-1-sports-party-megamix,0,,wii,1.0,0.0,0,0,107.17693,,0,"arcade,sports",2010-11-19,331585,0
102 Dalmatians: Puppies to the Rescue,102-dalmatians-puppies-to-the-rescue,0,66.0,"pc,playstation,game boy color,dreamcast",4.0,4.03,31,0,19.922377,,31,"platformer,arcade,action",2000-11-08,52639,214
11-11 Memories Retold,11-11-memories-retold,4,76.0,"pc,xbox one,playstation 4",3.0,3.14,66,0,27.678593,Teen,66,"casual,adventure",2018-11-09,59925,426
11 Eyes: CrossOver,11-eyes-crossover,0,,"xbox 360,psp",2.0,0.0,0,0,20.611168,,0,adventure,2009-04-02,331826,0
Twelve Minutes,12-minutes-2,5,71.0,"pc,playstation 5,xbox one,playstation 4,xbox series s/x",5.0,3.53,312,11,29.88845,,325,"indie,adventure,action",2021-08-19,327260,216
12-Sai. Honto no Kimochi,12-sai-honto-no-kimochi,0,,nintendo 3ds,1.0,0.0,0,0,38.765522,,0,adventure,2014-12-18,331829,0
15 Days,15-days,1,63.0,pc,1.0,0.0,4,0,70.806694,,4,"casual,indie,adventure",2010-06-24,10884,329
1701 A.D.,1701-ad,13,,pc,1.0,0.0,1,0,73.96097,,1,strategy,2006-10-26,36247,589
18 Wheeler: American Pro Trucker,18-wheeler-american-pro-trucker,0,,"playstation 2,gamecube,dreamcast",3.0,3.8,10,0,111.26508,,10,"racing,action",2000-07-26,54600,192
18 Wheels of Steel: American Long Haul,18-wheels-of-steel-american-long-haul,1,,pc,1.0,3.45,11,0,128.24188,,11,racing,2007-12-02,19222,297
18 Wheels of Steel: Convoy,18-wheels-of-steel-convoy,4,,pc,1.0,3.67,9,0,116.0899,,9,simulation,2005-08-31,18525,320
18 Wheels of Steel: Extreme Trucker 2,18-wheels-of-steel-extreme-trucker-2,1,,pc,1.0,4.0,7,0,109.05622,,7,simulation,2011-01-05,19224,184
18 Wheels of Steel: Extreme Trucker,18-wheels-of-steel-extreme-trucker,1,,pc,1.0,3.4,10,0,117.48215,,10,simulation,2009-09-22,19226,456
18 Wheels of Steel: Haulin’,18-wheels-of-steel-haulin,3,,pc,1.0,3.67,6,0,104.487114,,6,"racing,simulation",2006-09-01,18485,295
187 Ride or Die,187-ride-or-die,0,,playstation 2,1.0,0.0,2,0,30.558094,,2,"racing,arcade",2005-08-23,36637,438
1942: Joint Strike,1942-joint-strike,9,,"xbox 360,playstation 3",2.0,3.33,6,0,37.561348,Everyone 10+,6,"arcade,shooter,adventure,action",2008-07-23,5450,525
2002 FIFA World Cup,2002-fifa-world-cup,0,,"pc,xbox,playstation 2,playstation,gamecube",5.0,3.78,18,0,68.81301,,18,sports,2002-04-22,52641,260
2010 FIFA World Cup: South Africa,2010-fifa-world-cup-south-africa,0,,"ios,xbox 360,playstation 3,psp,wii",5.0,0.0,3,0,106.27102,,3,sports,2010-04-27,39969,508
2014 FIFA World Cup Brazil,2014-fifa-world-cup-brazil,10,,"xbox 360,playstation 3",2.0,0.0,2,0,73.005455,,2,sports,2014-04-15,42582,381
24: The Game,24-the-game,0,,playstation 2,1.0,0.0,4,0,66.24093,,4,action,2006-02-27,262360,222
25 to Life,25-to-life,0,39.0,"pc,xbox,playstation 2",3.0,2.89,44,0,73.26658,Mature,44,"shooter,action",2006-01-17,36489,408
2D Neon Cube,2d-neon-cube,1,,pc,1.0,0.0,2,0,20.390583,,2,"indie,action",2017-09-04,45920,92
2Xtreme (1996),2xtreme-1996,0,,"playstation 3,playstation,ps vita,psp",4.0,0.0,4,0,49.183052,,4,racing,1996-10-31,52642,135
3-D Ultra Cool Pool,3-d-ultra-cool-pool,0,,pc,1.0,0.0,0,0,45.59899,,0,sports,1999-01-01,29869,224
3 out of 10: Season One,3-out-of-10,0,79.0,"pc,xbox one,xbox series s/x,nintendo switch",4.0,2.93,14,0,24.898617,,14,adventure,2020-08-06,566671,347
300: March To Glory,300-march-to-glory,0,,"ps vita,psp",2.0,0.0,4,0,99.35017,Mature,4,action,2007-02-27,5228,184
3D Baseball,3d-baseball,0,,"playstation,sega saturn",2.0,0.0,1,0,51.95463,,1,sports,1996-10-31,52644,180
3D Dot Game Heroes,3d-dot-game-heroes,22,77.0,playstation 3,1.0,3.44,35,1,74.40169,Everyone 10+,36,"action,rpg",2009-11-05,5506,362
3D Girl Custom Evolution,3d-girl-custom-evolution,0,,"pc,apple ii",2.0,3.72,17,1,22.078995,Adults Only,18,simulation,2013-11-15,251494,181
3D Lemmings,3d-lemmings,0,,"pc,playstation,sega saturn",3.0,0.0,3,0,57.217262,,3,puzzle,1995-11-21,53100,260
3D Mini Golf - Mini Golf Games,3d-mini-golf-mini-golf-games,0,,ios,1.0,0.0,0,0,33.67334,Everyone 10+,0,"family,sports",2010-08-07,338507,19
3D Pixel Racing,3d-pixel-racing,0,,"ios,wii",2.0,0.0,0,0,55.194626,Everyone 10+,0,"racing,arcade",2011-07-14,6733,350
3on3 FreeStyle: Rebound,3on3-freestyle-rebound,1,,pc,1.0,0.0,3,0,27.237396,,3,"casual,indie,action,sports",2020-07-14,485193,293
3Xtreme,3xtreme,0,,playstation,1.0,3.57,7,0,43.07668,,7,racing,1999-04-21,52645,136
4 Elements,4-elements,6,,"pc,nintendo 3ds,nintendo ds",3.0,3.21,19,0,75.21484,,19,"casual,adventure",2010-07-12,21601,373
40 Winks,40-winks,0,,"playstation 3,playstation,ps vita,psp,nintendo 64",5.0,3.64,14,0,60.345787,,14,,1999-11-14,52646,303
428: Shibuya Scramble,428-shibuya-scramble,4,85.0,"pc,playstation 4,ios,android,playstation 3,psp,wii",7.0,4.47,29,1,124.59324,Teen,30,adventure,2018-09-04,61584,235
4x4 EVO 2,4x4-evo-2,0,,"pc,xbox,playstation 2,gamecube,classic macintosh",5.0,0.0,3,0,63.64705,,3,racing,2001-10-30,55970,346
4x4 Evolution,4x4-evolution,0,,pc,1.0,0.0,0,0,59.07713,,0,"racing,arcade",2000-01-01,29542,346
4x4: Hummer,4x4-hummer,0,,pc,1.0,0.0,4,0,60.30672,Everyone,4,"racing,arcade,simulation",2009-05-01,38254,337
50 Cent: Blood on the Sand,50-cent-blood-on-the-sand,0,,playstation 3,1.0,0.0,5,0,102.37012,Mature,5,"shooter,action",2009-02-24,5507,626
50 Cent: BotS,50-cent-bots,0,,xbox 360,1.0,3.19,27,0,24.36127,Mature,27,"shooter,action",2009-02-24,28722,440
50 Cent: Bulletproof,50-cent-bulletproof,0,47.0,"xbox,playstation 2,psp",3.0,3.09,11,0,101.653305,Mature,11,action,2005-11-17,262359,139
50 Classic Games,50-classic-games,0,,nintendo ds,1.0,0.0,0,0,57.34478,,0,,2009-07-14,26000,121
7 Billion Humans,7-billion-humans,3,,"pc,nintendo switch,ios,macos,linux",5.0,3.96,45,0,19.344429,,45,"educational,indie,simulation,puzzle",2018-08-22,52005,140
7 Days to Die,7-days-to-die,9,,"pc,xbox one,playstation 4,macos,linux",5.0,3.35,313,2,76.48087,Mature,316,"shooter,indie,rpg,simulation",2013-12-13,2255,538
7: Molmorth no Kiheitai,7-molmorth-no-kiheitai,0,,playstation 2,1.0,0.0,0,0,88.79599,,0,rpg,2000-12-21,736261,0
7 Roses - A Darkness Rises,7-roses-a-darkness-rises,0,,pc,1.0,0.0,0,0,87.11551,,0,casual,2020-08-01,491650,490
7 Wonders II,7-wonders-ii,1,60.0,"pc,nintendo ds",2.0,3.14,6,1,60.36245,,7,"casual,arcade",2007-08-14,21203,345
7 Wonders of the Ancient World,7-wonders-of-the-ancient-world,1,,"pc,nintendo ds,playstation 2,ps vita,psp",5.0,2.8,10,0,89.805916,Everyone 10+,10,"casual,strategy,puzzle",2007-09-17,5378,357
7 Wonders: Treasures of Seven,7-wonders-treasures-of-seven,2,,pc,1.0,3.17,5,1,109.58175,,6,casual,2008-11-13,21636,325
7'scarlet,7scarlet,373,,"pc,ps vita",2.0,4.0,6,0,55.778828,,6,adventure,2018-05-25,58596,494
7th Dragon 2020-II,7th-dragon-2020-ii,0,,psp,1.0,0.0,1,0,93.011734,,1,rpg,2013-04-18,331888,229
7th Dragon 2020,7th-dragon-2020,0,,psp,1.0,0.0,1,0,63.858894,,1,rpg,2011-11-23,331887,0
7th Dragon III Code: VFD,7th-dragon-iii-code-vfd,0,,nintendo 3ds,1.0,0.0,3,0,101.35963,,3,,2016-07-12,27963,237
7th Dragon,7th-dragon,0,,nintendo ds,1.0,0.0,1,0,58.306713,,1,"action,rpg",2009-03-05,367033,275
7th Legion,7th-legion,1,,pc,1.0,0.0,5,0,19.746098,Mature,5,"strategy,adventure,action",1997-09-29,19115,429
8-Bit Armies,8-bit-armies,3,69.0,"pc,xbox one,playstation 4",3.0,3.47,17,0,103.91714,,17,"strategy,indie,simulation",2016-04-21,11128,495
8 To Glory - The Official Game of the PBR,8-to-glory-the-official-game-of-the-pbr,0,,"xbox one,playstation 4,xbox series s/x",3.0,0.0,0,0,70.25864,Everyone 10+,0,sports,2018-07-31,59229,448
88 Heroes,88-heroes,4,,"pc,xbox one,playstation 4,macos,linux",5.0,4.0,7,0,46.494755,Everyone 10+,7,"indie,platformer,arcade,action",2017-03-23,110,277
8i - Make VR Human,8i-make-vr-human,1,,pc,1.0,0.0,3,0,27.099167,,3,adventure,2016-04-25,18592,253
9 Clues 2: The Ward,9-clues-2-the-ward,4,,"pc,android,macos,linux",4.0,3.56,9,0,101.75745,Teen,9,"casual,adventure",2015-07-23,20022,523
"999: Nine Hours, Nine Persons, Nine Doors",999-nine-hours-nine-persons-nine-doors,0,,"pc,ios,nintendo ds,ps vita",4.0,4.39,125,3,24.071651,Mature,129,"adventure,puzzle",2010-11-16,58920,363
A Boy and His Blob,a-boy-and-his-blob,5,,"pc,playstation 4,xbox one,ios,android,macos,linux,playstation 3,ps vita,wii",10.0,3.17,35,0,17.739391,Everyone 10+,36,"adventure,action,puzzle,arcade,platformer",2009-10-13,2258,393
A Detective's Novel,a-detectives-novel,4,,pc,1.0,1.95,21,0,22.123491,,21,"indie,adventure",2016-07-28,17324,217
A Fisherman's Tale,a-fishermans-tale,2,74.0,"pc,playstation 4",2.0,4.37,18,1,27.614738,Teen,19,"indie,adventure",2019-01-22,62351,225
A-GA,a-ga,0,,pc,1.0,0.0,0,0,18.457924,,0,action,2004-06-25,36615,419
A Game of Thrones - Genesis,a-game-of-thrones-genesis,1,,pc,1.0,2.47,17,0,58.70671,,17,strategy,2011-09-28,11750,584
A Hat in Time,a-hat-in-time,6,77.0,"pc,xbox one,playstation 4,nintendo switch,macos,playstation 3",6.0,4.35,416,10,23.433811,,428,"platformer,indie,action",2017-10-05,11164,377
A Hero's Guide To Gardening,a-heros-guide-to-gardening,0,,web,1.0,0.0,0,0,36.2134,,0,,2021-05-16,604473,0
A Juggler's Tale,a-jugglers-tale,4,73.0,"pc,playstation 5,xbox one,playstation 4,xbox series s/x,nintendo switch",6.0,3.93,12,2,23.931602,,14,"indie,adventure,action",2021-09-29,452664,402
A Plague Tale: Innocence,a-plague-tale-innocence,7,82.0,"pc,playstation 5,xbox one,playstation 4,xbox series s/x,nintendo switch",6.0,4.17,968,19,39.001297,Mature,999,"adventure,action",2019-05-13,59359,602
A Raven Monologue,a-raven-monologue,1,,"pc,macos",2.0,3.92,26,0,30.994091,,26,"casual,indie",2017-12-22,50824,218
A Sound of Thunder,a-sound-of-thunder,0,,game boy advance,1.0,0.0,1,0,57.389458,,1,,2004-02-28,53116,333
A-Train 3D: City Simulator,a-train-3d-city-simulator,0,,nintendo 3ds,1.0,0.0,0,0,46.709335,,0,,2015-04-14,23939,271
A-Train 8,a-train-8,1,,pc,1.0,0.0,4,0,28.37629,,4,simulation,2013-09-18,15536,380
A-Train,a-train,0,,"pc,commodore / amiga",2.0,0.0,2,0,58.94908,,2,strategy,1992-01-01,31781,93
A Vampyre Story,a-vampire-story,2,75.0,"pc,macos",2.0,3.7,20,0,93.353325,,20,adventure,2008-11-21,19295,575
A Way Out,a-way-out-2018,5,78.0,"pc,xbox one,playstation 4",3.0,4.11,1119,14,68.82082,Mature,1144,"indie,adventure,action",2018-03-23,50778,473
A Wizard's Lizard,a-wizards-lizard,2,,"pc,macos,linux",3.0,2.77,13,0,42.700233,,13,"indie,action,rpg",2014-01-22,17900,226
Absolute GP: Racing Fever,absolute-gp-racing-fever,0,,ios,1.0,0.0,0,0,37.17798,,0,"racing,sports",2017-02-24,86304,217
Abunai: Koi no Sousa Shitsu,abunai-koi-no-sousa-shitsu,0,,psp,1.0,0.0,0,0,126.2732,,0,adventure,2012-05-31,331905,0
Abyss: The Wraiths of Eden,abyss-the-wraiths-of-eden,4,,"pc,xbox one,playstation 4,android,macos,linux",6.0,3.4,35,0,25.914871,Teen,35,"casual,adventure,puzzle",2014-04-03,17629,461
ABZU,abzu-2,2,83.0,"pc,xbox one,playstation 4,nintendo switch",4.0,3.94,898,10,68.78323,,910,"indie,adventure,simulation",2016-08-02,7381,289
AC-130,ac-130,0,,ios,1.0,0.0,0,0,23.587936,,0,arcade,2011-03-03,331837,0
Academy of Champions: Soccer,academy-of-champions-soccer,0,,wii,1.0,0.0,0,0,90.78037,,0,,2009-09-08,24542,0
Accel World VS. Sword Art Online Deluxe Edition,accel-world-vs-sword-art-online-deluxe-edition,1,,pc,1.0,0.0,3,0,26.852451,,3,rpg,2017-09-12,46635,586
Accel,accel,0,,pc,1.0,0.0,0,0,26.779171,,0,"racing,indie,action",2018-08-01,288737,395
AC/DC LIVE: Rock Band,acdc-live-rock-band,0,,"xbox 360,playstation 3",2.0,3.0,11,0,84.48779,Teen,11,arcade,2008-11-02,28695,418
