ES_Name,Name,Release_date,platform,Analyst_Score,Community_score,N_com_votes
Victoria: Un Imperio bajo el Sol,Victoria: An Empire Under the Sun,Diciembre 2003,PC,9.9,8.24,16
Metroid Prime,Metroid Prime,21/3/2003,GCN,9.8,9.11,1036
The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,3/5/2003,GCN,9.8,9.07,1386
Mario & Luigi: Superstar Saga,Mario & Luigi: Superstar Saga,21/11/2003,GBA,9.8,8.89,154
World Soccer Winning Eleven 7,World Soccer Winning Eleven 7,8/8/2003,PS2,9.7,8.62,218
Wario Ware: Minigame Mania,Made in Wario,23/05/2003,GBA,9.6,8.65,130
Pokémon Rubí & Zafiro,Pokemon Advance,25/7/2003,GBA,9.6,8.28,276
F-Zero GX,F-Zero GX,31/10/2003,GCN,9.6,8.77,370
Viewtiful Joe,Viewtiful Joe,1/11/2003,GCN,9.6,8.82,291
Project Gotham Racing 2,Project Gotham Racing 2,28/11/2003,XBOX,9.6,9.14,167
Resident Evil Zero,Resident Evil 0,7/3/2003,GCN,9.5,8.45,729
The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,24/3/2003,GBA,9.5,9.15,520
Championship Manager 4,Championship Manager 4,14/04/2003,PC,9.5,7.76,48
Advance Wars 2,Advance Wars 2,3/10/2003,GBA,9.5,8.86,85
Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,30/10/2003,PC,9.5,8.61,119
Silent Hill 3,Silent Hill 3,23/5/2003,PS2,9.4,8.65,417
Star Wars Jedi Knight 3: Jedi Academy,Jedi Knight 3,22/9/2003,PC,9.4,7.81,46
Super Mario Advance 4: Super Mario Bros 3,Super Mario Bros 3: Super Mario Advance 4,17/10/2003,GBA,9.4,8.86,168
MotoGP 2,MotoGP 2,23/06/2003,XBOX,9.3,8.24,150
King of Fighters Ex 2,King of Fighters Ex 2,26/6/2003,GBA,9.3,8.14,47
Soul Calibur 2,Soulcalibur II,26/9/2003,GCN,9.3,8.88,403
Soul Calibur 2,Soulcalibur II,26/9/2003,XBOX,9.3,8.63,125
Pro Evolution Soccer 3,Pro Evolution Soccer 3,17/10/2003,PS2,9.3,8.78,295
Top Spin,Top Spin,16/9/2005,XBOX,9.3,8.65,136
Need for Speed Underground,Need for Speed Underground,21/11/2003,PS2,9.3,8.05,134
Tony Hawk's Pro Skater 4,Tony Hawk's Pro Skater 4,Año 2003,PS2,9.3,7.77,84
Rayman 3: Hoodlum Havoc,Rayman 3: Hoodlum Havoc,11/03/2003,GBA,9.3,7.8,29
Soul Calibur 2,Soulcalibur II,26/9/2003,PS2,9.2,8.36,185
Star Wars Galaxies,Star Wars: Galaxies - An Empire Divided,10/11/2003,PC,9.2,7.29,25
Star Wars Rogue Squadron 3: Rebel Strike,Rogue Leader 2,10/11/2003,GCN,9.2,7.94,213
Tom Clancy's Rainbow Six 3,Tom Clancy's Rainbow Six 3,26/3/2004,XBOX,9.2,8.1,50
Beyond Good & Evil,Project BG&E,27/2/2004,PS2,9.2,8.28,118
Need for Speed Underground,Need for Speed Underground,21/11/2003,GCN,,7.74,80
Need for Speed Underground,Need for Speed Underground,21/11/2003,XBOX,9.2,7.53,40
Tony Hawk Underground,Tony Hawk's Underground,24/11/2003,GBA,9.2,7.27,15
Phantasy Star Online Episode I & II,Phantasy Star Online Episode I & II,07/03/2003,GCN,9.1,8.41,168
Sonic Advance 2,Sonic Advance 2,25/03/2003,GBA,9.1,7.87,93
Guilty Gear X2,Guilty Gear X2,Abril 2003,PS2,9.1,8.06,87
NBA Street 2,NBA Street Vol. 2,6/5/2003,PS2,9.1,8,44
