Name,Platform,Genre,Global_Sales
Grand Theft Auto: San Andreas,PS2,Action,20.81m
Grand Theft Auto V,PS3,Action,20.32m
Grand Theft Auto V,PS4,Action,19.39m
Grand Theft Auto: Vice City,PS2,Action,16.15m
Grand Theft Auto V,X360,Action,15.86m
Grand Theft Auto III,PS2,Action,13.10m
Grand Theft Auto IV,X360,Action,11.09m
Grand Theft Auto IV,PS3,Action,10.57m
Uncharted 4: A Thief's End,PS4,Action,10.33m
Grand Theft Auto V,XOne,Action,8.72m
Grand Theft Auto: Liberty City Stories,PSP,Action,7.72m
Uncharted 3: Drake's Deception,PS3,Action,6.84m
Uncharted 2: Among Thieves,PS3,Action,6.74m
Red Dead Redemption,PS3,Action,6.57m
Red Dead Redemption,X360,Action,6.50m
Driver,PS,Action,6.27m
God of War (2018),PC,Action,6.15m
Metal Gear Solid 2: Sons of Liberty,PS2,Action,6.05m
Metal Gear Solid,PS,Action,6.03m
Metal Gear Solid 4: Guns of the Patriots,PS3,Action,6.00m
Resident Evil 2,PS,Action,5.82m
Uncharted: The Nathan Drake Collection,PS4,Action,5.70m
LEGO Star Wars: The Complete Saga,Wii,Action,5.66m
Assassin's Creed II,PS3,Action,5.57m
Assassin's Creed,X360,Action,5.55m
Batman: Arkham City,PS3,Action,5.54m
Assassin's Creed II,X360,Action,5.30m
Resident Evil 5,PS3,Action,5.10m
Grand Theft Auto: Vice City Stories,PSP,Action,5.08m
Resident Evil,PS,Action,5.05m
Uncharted: Drake's Fortune,PS3,Action,4.97m
Assassin's Creed,PS3,Action,4.83m
God of War III,PS3,Action,4.81m
LEGO Star Wars: The Complete Saga,DS,Action,4.77m
Batman: Arkham City,X360,Action,4.75m
Driver 2,PS,Action,4.73m
Monster Hunter: World,PS4,Action,4.67m
The Lord of the Rings: The Two Towers,PS2,Action,4.67m
Tomb Raider,PS,Action,4.63m
Spider-Man: The Movie,PS2,Action,4.48m
God of War,PS2,Action,4.45m
Batman: Arkham Asylum,PS3,Action,4.28m
Assassin's Creed: Revelations,PS3,Action,4.23m
Metal Gear Solid 3: Snake Eater,PS2,Action,4.23m
Assassin's Creed: Revelations,X360,Action,4.22m
Frogger,PS,Action,4.16m
Assassin's Creed: Unity,PS4,Action,4.14m
Batman: Arkham Knight,PS4,Action,4.11m
God of War II,PS2,Action,4.07m
Assassin's Creed Origins,PS4,Action,4.06m
Far Cry 5,PS4,Action,3.95m
Resident Evil Director's Cut,PS,Action,3.77m
Harry Potter and the Sorcerer's Stone,PS,Action,3.73m
Resident Evil 3: Nemesis,PS,Action,3.72m
Resident Evil 4,PS2,Action,3.62m
Luigi's Mansion,GC,Action,3.60m
Assassin's Creed Syndicate,PS4,Action,3.60m
Assassin's Creed: Unity,XOne,Action,3.58m
Monster Hunter Generations,3DS,Action,3.56m
Grand Theft Auto: Liberty City Stories,PS2,Action,3.54m
The Getaway,PS2,Action,3.54m
Batman: Arkham Asylum,X360,Action,3.54m
Assassin's Creed: Brotherhood,X360,Action,3.53m
LEGO Star Wars: The Video Game,PS2,Action,3.53m
Resident Evil 5,X360,Action,3.53m
Rugrats in Paris: The Movie,PS,Action,3.52m
Kung Fu,NES,Action,3.50m
Grand Theft Auto 2,PS,Action,3.42m
Spider-Man 2,PS2,Action,3.41m
Watch Dogs 2,PS4,Action,3.36m
Star Wars Episode III: Revenge of the Sith,PS2,Action,3.32m
