,Title,total_ship,Platform,Date,Genre
0, Pikmin 3 Deluxe,2.04m,NS,30th Oct 20  ,Strategy
1, Plague Inc: Evolved,2.00m,PC,31st Dec 20  ,Strategy
2, Mario + Rabbids: Kingdom Battle,2.00m,NS,29th Aug 17  ,Strategy
3, Slay the Spire,1.50m,PC,23rd Jan 19  ,Strategy
4, Frostpunk,1.40m,PC,24th Apr 18  ,Strategy
5, Crusader Kings III,1.00m,PC,01st Sep 20  ,Strategy
6, Forts,1.00m,PC,19th Apr 17  ,Strategy
7, Total War: Three Kingdoms,1.00m,PC,23rd May 19  ,Strategy
8, Total War: Warhammer II,0.96m,PC,28th Sep 17  ,Strategy
9, Mini Motorways,0.50m,All,19th Sep 19  ,Strategy
10, Romance of the Three Kingdoms XIV,0.50m,All,28th Feb 20  ,Strategy
11, Pit People,0.30m,PC,02nd Mar 18  ,Strategy
12, Total War Saga: Thrones of Britannia,0.22m,PC,03rd May 18  ,Strategy
13, Dynasty Warriors 9 Empires,0.15m,All,15th Feb 22  ,Strategy
14, SpellForce 3,0.13m,PC,07th Dec 17  ,Strategy
15, Colony Survival,0.13m,PC,16th Jun 17  ,Strategy
16, Nobunaga's Ambition: Taishi,0.13m,All,30th Nov 17  ,Strategy
17, Dungeons 3,0.13m,PC,13th Oct 17  ,Strategy
18, 8-Bit Armies,0.12m,PC,21st Sep 18  ,Strategy
19, Sudden Strike 4,0.12m,PC,15th Aug 17  ,Strategy
20, Starpoint Gemini Warlords,0.11m,PC,23rd May 17  ,Strategy
21, Space Pirates And Zombies 2,0.10m,PC,07th Nov 17  ,Strategy
22, Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack,0.10m,All,10th Dec 20  ,Strategy
23, FIFA 18,26.40m,All,26th Sep 17  ,Sports
24, FIFA 19,20.00m,All,28th Sep 18  ,Sports
25, NBA 2K20,14.00m,All,06th Sep 19  ,Sports
26, NBA 2K19,12.00m,All,11th Sep 18  ,Sports
27, NBA 2K21,11.00m,All,04th Sep 20  ,Sports
