,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,multiplayer,singleplayer,viewconut,likecount,commentcount,videotitle,published,description
0,0,0,0,1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,True,True,45473.0,400.0,79.0,Wii Sports Nintendo Wii Video - Video Review,2011-05-19T07:28:23Z,None
1,1,1,1,2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,True,True,1002608.0,11057.0,1649.0,New Super Mario Bros. U Deluxe Review,2019-01-09T14:00:10Z,"New Super Mario Bros. U Deluxe reviewed by Tristan Ogilvie on Nintendo Switch.

Super Smash Bros. Ultimate Review:
https://www.youtube.com/watch?v=tWo9wfsnj7M

Super Mario Odyssey Review: 
https://www.youtube.com/watch?v=MgR9XBBEKjI

Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN

#ign #gaming"
2,2,2,2,3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,True,True,241260.0,1487.0,682.0,Mario Kart Wii Review,2008-08-05T21:04:29Z,Nintendo delivers one of the best console Karts in years.
3,3,3,3,4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,True,True,1532660.0,2514.0,947.0,Wii Sports Resort Review,2009-07-17T01:25:07Z,Craig tells us if this is a true Wii classic or just a glorified tech demo.
4,4,4,4,5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,53235.0,638.0,194.0,Pokemon Red & Blue - IGN Plays,2014-09-23T21:30:02Z,"To celebrate Nintendo's 125th anniversary, we're spending time with some of the best games The Big N ever made."
5,5,5,5,6,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,True,True,258749.0,3341.0,472.0,Tetris Effect Review,2018-11-09T16:00:03Z,"Tetris Effect turns the game you know into something you've likely never experienced.

Tetris Effect: Dark Blocks Mode Gameplay
https://www.youtube.com/watch?v=3lRUlVdw_MQ

Tetris Effect - Announce Trailer:
https://www.youtube.com/watch?v=oFDuy2aIMTY

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN

#ign #gaming #tetriseffect"
6,6,6,6,7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,True,True,1002608.0,11057.0,1649.0,New Super Mario Bros. U Deluxe Review,2019-01-09T14:00:10Z,"New Super Mario Bros. U Deluxe reviewed by Tristan Ogilvie on Nintendo Switch.

Super Smash Bros. Ultimate Review:
https://www.youtube.com/watch?v=tWo9wfsnj7M

Super Mario Odyssey Review: 
https://www.youtube.com/watch?v=MgR9XBBEKjI

Subscribe to IGN for more!
http://www.youtube.com/user/IGNentertainment?sub_confirmation=1

------------------------------­----
Follow IGN for more!
------------------------------­----

YOUTUBE: https://www.youtube.com/user/ignentertainment?sub_confirmation=1
IGN OFFICIAL APP: http://www.ign.com/mobile
FACEBOOK: https://www.facebook.com/ign
TWITTER: https://twitter.com/ign
INSTAGRAM: https://instagram.com/igndotcom/?hl=en
WEBSITE: http://www.ign.com/
GOOGLE+: https://plus.google.com/+IGN

#ign #gaming"
7,7,7,7,8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,True,True,10087.0,77.0,17.0,Wii Play (with Wii Remote) Nintendo Wii Review - Video,2011-06-23T10:02:30Z,None
8,8,8,8,9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,True,True,1993264.0,2509.0,1675.0,New Super Mario Review,2009-11-13T21:23:40Z,It's a good game. But how good? Check it. Read the full review at http://wii.ign.com/articles/104/1044744p1.html
9,9,9,9,10,Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,True,True,2435.0,18.0,1.0,Duck Hunt Retro Game Gameplay - Gameplay,2011-05-18T17:32:04Z,None
