Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;multiplayer;singleplayer;viewconut;likecount;commentcount;videotitle;published
1;Wii Sports;Wii;2006.0;Sports;Nintendo;41.49;29.02;3.77;8.46;82.74;TRUE;TRUE;45473.0;400.0;79.0;Wii Sports Nintendo Wii Video - Video Review;2011-05-19T07:28:23Z
2;Super Mario Bros.;NES;1985.0;Platform;Nintendo;29.08;3.58;6.81;0.77;40.24;TRUE;TRUE;1002608.0;11057.0;1649.0;New Super Mario Bros. U Deluxe Review;2019-01-09T14:00:10Z
3;Mario Kart Wii;Wii;2008.0;Racing;Nintendo;15.85;12.88;3.79;3.31;35.82;TRUE;TRUE;241260.0;1487.0;682.0;Mario Kart Wii Review;2008-08-05T21:04:29Z
4;Wii Sports Resort;Wii;2009.0;Sports;Nintendo;15.75;11.01;3.28;2.96;33.0;TRUE;TRUE;1532660.0;2514.0;947.0;Wii Sports Resort Review;2009-07-17T01:25:07Z
5;Pokemon Red/Pokemon Blue;GB;1996.0;Role-Playing;Nintendo;11.27;8.89;10.22;1.0;31.37;;;53235.0;638.0;194.0;Pokemon Red & Blue - IGN Plays;2014-09-23T21:30:02Z
6;Tetris;GB;1989.0;Puzzle;Nintendo;23.2;2.26;4.22;0.58;30.26;TRUE;TRUE;258749.0;3341.0;472.0;Tetris Effect Review;2018-11-09T16:00:03Z
7;New Super Mario Bros.;DS;2006.0;Platform;Nintendo;11.38;9.23;6.5;2.9;30.01;TRUE;TRUE;1002608.0;11057.0;1649.0;New Super Mario Bros. U Deluxe Review;2019-01-09T14:00:10Z
8;Wii Play;Wii;2006.0;Misc;Nintendo;14.03;9.2;2.93;2.85;29.02;TRUE;TRUE;10087.0;77.0;17.0;Wii Play (with Wii Remote) Nintendo Wii Review - Video;2011-06-23T10:02:30Z
9;New Super Mario Bros. Wii;Wii;2009.0;Platform;Nintendo;14.59;7.06;4.7;2.26;28.62;TRUE;TRUE;1993264.0;2509.0;1675.0;New Super Mario Review;2009-11-13T21:23:40Z
10;Duck Hunt;NES;1984.0;Shooter;Nintendo;26.93;0.63;0.28;0.47;28.31;TRUE;TRUE;2435.0;18.0;1.0;Duck Hunt Retro Game Gameplay - Gameplay;2011-05-18T17:32:04Z
