Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
Grand Theft Auto: San Andreas,PS2,Action,20.81,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,"Action Adventure, Modern",9.5,9.1,rockstar games,Rockstar North,80,3015,26,2004,10,2004-10-26,4.0,Grand theft Auto,0.42641624999999983,1.0,1.0
Grand Theft Auto: San Andreas,XB,Action,1.95,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,"Action Adventure, Modern",9.3,8.8,rockstar games,Rockstar North,58,187,7,2005,6,2005-06-07,2.0,Grand theft Auto,0.4730793103448274,1.0,1.0
Grand Theft Auto: San Andreas,PC,Action,0.97,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,"Action Adventure, Modern, Modern, Open-World",9.3,8.9,rockstar games,Rockstar North,47,3774,7,2005,6,2005-06-07,2.0,Grand theft Auto,0.47035744680851077,1.0,1.0
Grand Theft Auto V,PS3,Action,20.32,grand-theft-auto-v,Grand Theft Auto V,"Modern, Action Adventure, Modern, Open-World",9.7,8.3,rockstar games,Rockstar North,50,4829,17,2013,9,2013-09-17,3.0,Grand theft Auto,0.6849740000000001,1.0,1.0
Grand Theft Auto V,PS4,Action,19.39,grand-theft-auto-v,Grand Theft Auto V,"Action Adventure, Modern, Open-World",9.7,8.4,rockstar games,Rockstar North,66,7079,18,2014,11,2014-11-18,4.0,Grand theft Auto,0.6769636363636363,1.0,1.0
Grand Theft Auto V,X360,Action,15.86,grand-theft-auto-v,Grand Theft Auto V,"Modern, Action Adventure, Modern, Open-World",9.7,8.3,rockstar games,Rockstar North,58,4048,17,2013,9,2013-09-17,3.0,Grand theft Auto,0.5700793103448276,1.0,1.0
Grand Theft Auto V,XOne,Action,8.72,grand-theft-auto-v,Grand Theft Auto V,"Action Adventure, Modern, Open-World",9.7,7.9,rockstar games,Rockstar North,14,1596,18,2014,11,2014-11-18,4.0,Grand theft Auto,0.8640928571428572,1.0,1.0
Grand Theft Auto V,PC,Action,1.33,grand-theft-auto-v,Grand Theft Auto V,"Modern, Action Adventure, Open-World",9.6,7.8,rockstar games,Rockstar North,57,8117,13,2015,4,2015-04-13,2.0,Grand theft Auto,0.5754929824561402,1.0,1.0
Grand Theft Auto: Vice City,PS2,Action,16.15,grand-theft-auto-vice-city,Grand Theft Auto: Vice City,"Action Adventure, Modern",9.5,8.8,rockstar games,Rockstar North,62,1275,27,2002,10,2002-10-27,4.0,Grand theft Auto,0.47840806451612916,0.0,1.0
Grand Theft Auto: Vice City,PC,Action,0.04,grand-theft-auto-vice-city,Grand Theft Auto: Vice City,"Action Adventure, Modern, Modern, Open-World",9.4,8.8,rockstar games,Rockstar North,30,2903,12,2003,5,2003-05-12,2.0,Grand theft Auto,0.42976666666666674,0.0,1.0
Grand Theft Auto III,PS2,Action,13.1,grand-theft-auto-iii,Grand Theft Auto III,"Action Adventure, Modern",9.7,8.4,rockstar games,DMA Design,56,1030,22,2001,10,2001-10-22,4.0,Grand theft Auto,0.4125303571428573,0.0,1.0
Grand Theft Auto III,PC,Action,0.01,grand-theft-auto-iii,Grand Theft Auto III,"Action Adventure, Modern, Modern, Open-World",9.3,8.2,rockstar games,DMA Design,20,1498,20,2002,5,2002-05-20,2.0,Grand theft Auto,0.4362749999999999,0.0,1.0
Grand Theft Auto IV,X360,Action,11.09,grand-theft-auto-iv,Grand Theft Auto IV,"Action Adventure, Modern, Modern, Open-World",9.8,7.9,rockstar games,Rockstar North,86,969,29,2008,4,2008-04-29,2.0,Grand theft Auto,0.5691391472868217,1.0,1.0
Grand Theft Auto IV,PS3,Action,10.57,grand-theft-auto-iv,Grand Theft Auto IV,"Action Adventure, Modern, Modern, Open-World",9.8,7.8,rockstar games,Rockstar North,64,826,29,2008,4,2008-04-29,2.0,Grand theft Auto,0.3374666666666664,1.0,1.0
