Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,year,Franchise_wikipedia,compound,multiplayer,singleplayer,oem,Global_Sales.log,N_pro.log,N_user.log,PC,nintendo,playstation,xbox,Publisher_top,pub_activision,pub_amc games,pub_capcom,pub_ea games,pub_ea sports,pub_electronic arts,pub_konami,pub_nintendo,pub_scea,pub_sega,pub_thq,pub_ubisoft,Franchise_top,lic_Final Fantasy,lic_Harry Potter,lic_Marvel,lic_NBA,lic_Others,lic_PGA Tour,lic_Prince of Persia,lic_Sonic The Hedgehog,lic_Star Wars,lic_The Sims,lic_Tom Clancy’s,lic_WWE,year.release_2001,year.release_2002,year.release_2003,year.release_2004,year.release_2005,year.release_2006,year.release_2007,year.release_2008,year.release_2009,year.release_2010,year.release_2011,year.release_2012,year.release_2013,year.release_2014,year.release_2015,year.release_2016,year.release_2017,year.release_2018,genre_Action,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,labels,labels_0,labels_1,labels_2,labels_3,labels_4,labels_5,labels_6,labels_7
Grand Theft Auto: San Andreas,XB,Action,1.95,grand-theft-auto-san-andreas,Grand Theft Auto: San Andreas,"Action Adventure, Modern",9.3,8.8,rockstar games,Rockstar North,58,187,2005,Grand theft Auto,0.4730793103448274,1.0,1.0,xbox,14.48334044336031,4.07753744390572,5.236441962829949,0,0,0,1,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Grand Theft Auto III,PC,Action,0.01,grand-theft-auto-iii,Grand Theft Auto III,"Action Adventure, Modern, Modern, Open-World",9.3,8.2,rockstar games,DMA Design,20,1498,2002,Grand theft Auto,0.4362749999999999,0.0,1.0,PC,9.210440366976517,3.044522437723423,7.312553498102598,1,0,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Grand Theft Auto IV,PC,Action,0.87,grand-theft-auto-iv,Grand Theft Auto IV,"Action Adventure, Modern, Modern, Open-World",9.0,7.0,rockstar games,Rockstar Toronto,40,627,2008,Grand theft Auto,0.4606583333333337,1.0,1.0,PC,13.676249640055394,3.713572066704308,6.4425401664681985,1,0,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Grand Theft Auto: Liberty City Stories,PS2,Action,3.54,grand-theft-auto-liberty-city-stories,Grand Theft Auto: Liberty City Stories,"Action Adventure, Modern",7.8,7.9,rockstar games,Rockstar Leeds,49,35,2006,Grand theft Auto,0.3454867346938777,1.0,1.0,playstation,15.079637567595793,3.912023005428146,3.58351893845611,0,0,1,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
LEGO Star Wars: The Complete Saga,Wii,Action,5.66,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,8.7,lucasarts,Traveller's Tales,17,117,2007,Star Wars,0.5413941176470587,1.0,1.0,nintendo,15.548934626857795,2.8903717578961645,4.770684624465665,0,1,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Star Wars,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LEGO Star Wars: The Complete Saga,DS,Action,4.77,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, Action Adventure, Sci-Fi, General, Compilation",8.0,6.5,lucasarts,TT Fusion,9,77,2007,Star Wars,0.5785000000000001,1.0,1.0,nintendo,15.377857072508109,2.302585092994046,4.356708826689592,0,1,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Star Wars,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
LEGO Star Wars: The Complete Saga,X360,Action,2.59,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,8.0,lucasarts,Traveller's Tales,24,233,2007,Star Wars,0.5009083333333333,1.0,1.0,xbox,14.767168819776032,3.2188758248682006,5.455321115357702,0,0,0,1,Others,0,0,0,0,0,0,0,0,0,0,0,0,Star Wars,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
LEGO Star Wars: The Complete Saga,PS3,Action,2.31,lego-star-wars-the-complete-saga,LEGO Star Wars: The Complete Saga,"Action, Miscellaneous, General, General, Compilation",8.0,7.3,lucasarts,Traveller's Tales,18,120,2007,Star Wars,0.3491444444444445,1.0,1.0,playstation,14.652758515398315,2.9444389791664403,4.795790545596741,0,0,1,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Star Wars,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Assassin's Creed II,PC,Action,0.54,assassin-s-creed-ii,Assassin's Creed II,"Action Adventure, Historic, Historic, Open-World",8.6,7.4,ubisoft,Ubisoft Montreal,22,2491,2010,Assassin's Creed,0.3614590909090909,0.0,1.0,PC,13.199326270390594,3.1354942159291497,7.820840879907344,1,0,0,0,ubisoft,0,0,0,0,0,0,0,0,0,0,0,1,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
Batman: Arkham City,PC,Action,0.52,batman-arkham-city,Batman: Arkham City,"Action Adventure, Fantasy, Fantasy, Open-World",9.1,8.7,warner bros interactive entertainment,Rocksteady Studios,27,2734,2011,Batman,0.4022333333333333,0.0,1.0,PC,13.161586013632684,3.332204510175204,7.913886714856082,1,0,0,0,Others,0,0,0,0,0,0,0,0,0,0,0,0,Others,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
