,Name,multiplayer,singleplayer,awarded
0,Wii Sports,1,1,1.0
1,Super Mario Bros.,1,1,0.0
2,Mario Kart Wii,1,1,1.0
3,Wii Sports Resort,1,1,0.0
5,Tetris,1,1,1.0
6,New Super Mario Bros.,1,1,0.0
7,Wii Play,1,1,0.0
8,New Super Mario Bros. Wii,1,1,0.0
9,Duck Hunt,1,1,0.0
10,Nintendogs,1,1,1.0
11,Mario Kart DS,1,1,0.0
13,Wii Fit,0,1,0.0
14,Wii Fit Plus,1,1,0.0
15,Kinect Adventures!,1,1,0.0
16,Grand Theft Auto V,1,1,1.0
17,Grand Theft Auto: San Andreas,1,1,0.0
18,Super Mario World,1,1,1.0
19,Brain Age: Train Your Brain in Minutes a Day,1,1,0.0
21,Super Mario Land,0,1,0.0
22,Super Mario Bros. 3,1,1,1.0
24,Grand Theft Auto: Vice City,0,1,1.0
27,Brain Age 2: More Training in Minutes a Day,1,1,0.0
28,Gran Turismo 3: A-Spec,1,1,1.0
29,Call of Duty: Modern Warfare 3,1,1,1.0
30,Pokémon Yellow: Special Pikachu Edition,1,1,0.0
31,Call of Duty: Black Ops,1,1,0.0
33,Call of Duty: Black Ops 3,1,1,1.0
34,Call of Duty: Black Ops II,1,1,0.0
36,Call of Duty: Modern Warfare 2,1,1,1.0
38,Grand Theft Auto III,0,1,1.0
39,Super Smash Bros. Brawl,1,1,1.0
41,Animal Crossing: Wild World,1,1,0.0
42,Mario Kart 7,1,1,0.0
43,Halo 3,1,1,0.0
46,Super Mario 64,1,1,1.0
47,Gran Turismo 4,1,1,1.0
48,Super Mario Galaxy,1,1,1.0
50,Super Mario Land 2: 6 Golden Coins,0,1,0.0
51,Grand Theft Auto IV,1,1,1.0
53,Super Mario 3D Land,0,1,0.0
54,Gran Turismo 5,1,1,1.0
57,Super Mario All-Stars,1,1,0.0
61,Call of Duty: Ghosts,1,1,0.0
62,Halo: Reach,1,1,1.0
63,Mario Kart 64,1,1,0.0
64,New Super Mario Bros. 2,1,1,0.0
65,Halo 4,1,1,1.0
66,Final Fantasy VII,0,1,1.0
68,Just Dance 2,1,1,0.0
69,Gran Turismo 2,1,1,0.0
70,Call of Duty 4: Modern Warfare,1,1,1.0
71,Donkey Kong Country,1,1,1.0
72,Minecraft,1,1,1.0
73,Animal Crossing: New Leaf,1,1,0.0
74,Mario Party DS,1,1,0.0
75,The Elder Scrolls V: Skyrim,0,1,1.0
76,Super Mario Kart,1,1,0.0
77,FIFA 16,1,1,1.0
78,Wii Party,1,1,0.0
79,Halo 2,1,1,0.0
80,Mario Party 8,1,1,0.0
82,FIFA Soccer 13,1,1,0.0
83,The Sims 3,0,1,0.0
85,Mario & Sonic at the Olympic Games,1,1,0.0
86,Final Fantasy X,0,1,1.0
87,Final Fantasy VIII,0,1,0.0
89,Pac-Man,1,1,1.0
90,Grand Theft Auto: Liberty City Stories,1,1,0.0
91,Super Mario Galaxy 2,1,1,1.0
92,Star Wars Battlefront (2015),1,1,1.0
93,Call of Duty: Advanced Warfare,1,1,1.0
94,The Legend of Zelda: Ocarina of Time,0,1,1.0
95,Crash Bandicoot 2: Cortex Strikes Back,0,1,0.0
96,Super Mario Bros. 2,1,1,0.0
98,Call of Duty: World at War,1,1,0.0
99,Battlefield 3,1,1,1.0
100,The Legend of Zelda: Twilight Princess,0,1,1.0
104,Need for Speed Underground,1,1,1.0
105,Tekken 3,1,1,0.0
106,Crash Bandicoot 3: Warped,0,1,0.0
107,Super Smash Bros. Melee,1,1,1.0
108,Mario Kart 8,1,1,1.0
109,Fallout 4,0,1,1.0
110,Mario Kart: Double Dash!!,1,1,1.0
112,FIFA 14,1,1,0.0
113,Need for Speed Underground 2,1,1,0.0
114,Medal of Honor: Frontline,1,1,0.0
115,Uncharted 3: Drake's Deception,1,1,1.0
118,Gears of War 2,1,1,1.0
119,Uncharted 2: Among Thieves,1,1,1.0
121,FIFA 12,1,1,0.0
123,Red Dead Redemption,1,1,1.0
124,FIFA 15,1,1,0.0
125,Donkey Kong Country Returns,1,1,0.0
127,The Legend of Zelda,1,0,0.0
128,Assassin's Creed III,1,1,1.0
129,Halo: Combat Evolved,1,1,0.0
130,Pokémon Emerald Version,1,1,0.0
133,Halo 3: ODST,1,1,1.0
135,Super Mario Sunshine,0,1,0.0
136,Street Fighter II: The World Warrior,1,1,0.0
137,World of Warcraft,1,0,1.0
139,Kinect Sports,1,1,1.0
140,Gears of War 3,1,1,1.0
142,Metal Gear Solid 2: Sons of Liberty,0,1,1.0
143,Sonic the Hedgehog 2,1,1,1.0
144,Metal Gear Solid 4: Guns of the Patriots,0,1,1.0
146,The Last of Us,1,1,1.0
147,Final Fantasy XII,0,1,0.0
149,Dragon Quest IX: Sentinels of the Starry Skies,1,1,1.0
150,LEGO Star Wars: The Complete Saga,1,1,0.0
151,Resident Evil 2,0,1,1.0
152,Tekken 2,1,1,0.0
156,Assassin's Creed II,0,1,0.0
157,Super Smash Bros.,1,1,0.0
159,Batman: Arkham City,0,1,1.0
160,Forza Motorsport 3,1,1,1.0
161,Monster Hunter Freedom Unite,1,1,0.0
162,Super Mario Advance,1,1,0.0
163,Mario Kart: Super Circuit,1,1,0.0
165,Pokemon Stadium,1,1,0.0
167,Crash Bandicoot: The Wrath of Cortex,0,1,0.0
169,Final Fantasy XIII,0,1,0.0
170,Dr. Mario,1,1,0.0
171,Pokemon Pinball,0,1,0.0
173,Final Fantasy IX,1,1,0.0
174,Final Fantasy X-2,0,1,0.0
175,Donkey Kong 64,1,1,0.0
177,Professor Layton and the Curious Village,0,1,1.0
178,Tomb Raider II,0,1,0.0
179,Madden NFL 2004,1,1,0.0
180,Dragon Quest VIII: Journey of the Cursed King,0,1,0.0
181,Diablo III,1,1,0.0
183,New Super Mario Bros. U,1,1,1.0
184,Super Mario Land 3: Wario Land,0,1,0.0
186,The Legend of Zelda: Phantom Hourglass,1,1,0.0
187,Donkey Kong Country 2: Diddy's Kong Quest,1,1,0.0
188,Tomodachi Life,0,1,0.0
190,Medal of Honor: Rising Sun,1,1,0.0
191,Kirby's Dream Land,0,1,0.0
192,Fable III,1,1,0.0
195,Guitar Hero II,1,1,0.0
196,Resident Evil 5,1,1,1.0
198,Grand Theft Auto: Vice City Stories,1,1,1.0
202,Tony Hawk's Pro Skater,1,1,0.0
204,Warzone 2100,1,0,0.0
205,Spyro the Dragon,0,1,0.0
206,Link's Crossbow Training,1,1,0.0
207,Guitar Hero III: Legends of Rock,1,1,0.0
208,Fallout 3,0,1,1.0
210,Uncharted: Drake's Fortune,0,1,1.0
211,Madden NFL 06,1,1,1.0
213,Diddy Kong Racing,1,1,0.0
214,Monster Hunter Freedom 3,1,1,0.0
216,God of War III,0,1,1.0
217,StarCraft II: Wings of Liberty,1,1,0.0
220,Crash Team Racing,1,1,0.0
221,FIFA 17,1,1,0.0
223,Driver 2,1,1,0.0
224,The Simpsons: Hit & Run,1,1,0.0
225,Tony Hawk's Pro Skater 2,1,1,1.0
226,Animal Crossing: City Folk,1,1,0.0
228,Forza Motorsport 4,1,1,0.0
231,The Legend of Zelda: A Link to the Past,0,1,0.0
232,The Legend of Zelda: The Wind Waker,1,1,0.0
233,Mario & Sonic at the Olympic Winter Games,1,1,0.0
234,Luigi's Mansion: Dark Moon,1,1,0.0
235,Splatoon,1,1,0.0
238,Madden NFL 2005,1,1,0.0
239,Pitfall!,0,1,0.0
240,Madden NFL 07,1,1,1.0
241,Spider-Man: The Movie,0,1,0.0
242,Dragon Quest VII: Warriors of Eden,0,1,0.0
243,Uncharted: The Nathan Drake Collection,0,1,0.0
246,Nintendo Land,1,1,0.0
247,Michael Jackson: The Experience,1,1,0.0
248,Tony Hawk's Pro Skater 3,1,1,1.0
249,Winning Eleven: Pro Evolution Soccer 2007,1,1,0.0
250,The Elder Scrolls IV: Oblivion,0,1,0.0
251,Zelda II: The Adventure of Link,0,1,0.0
253,Resistance: Fall of Man,1,1,0.0
254,Sonic the Hedgehog,1,0,0.0
255,Kingdom Hearts II,0,1,0.0
259,Fable II,1,1,1.0
260,Halo 5: Guardians,1,1,1.0
261,Super Mario 3D World,1,1,1.0
262,Batman: Arkham Asylum,0,1,1.0
263,Assassin's Creed: Revelations,1,1,0.0
264,Namco Museum,1,1,0.0
265,Metal Gear Solid 3: Snake Eater,0,1,1.0
267,Warcraft II: Tides of Darkness,1,1,0.0
269,FIFA Soccer 06,1,1,0.0
271,Uncharted 4: A Thief's End,1,1,1.0
272,Gran Turismo 5 Prologue,1,1,0.0
274,Street Fighter IV,1,1,0.0
277,Excitebike,1,1,0.0
278,Frogger,0,1,0.0
279,Madden NFL 2003,1,1,0.0
282,Super Mario World 2: Yoshi's Island,0,1,0.0
283,FIFA Soccer 07,1,1,0.0
284,The Legend of Zelda: Skyward Sword,0,1,1.0
285,Street Fighter II Turbo,1,1,1.0
286,Carnival Games,1,1,0.0
288,World of Warcraft: The Burning Crusade,1,0,0.0
289,Fallout: New Vegas,0,1,0.0
290,God of War II,1,1,1.0
291,Forza Motorsport 2,1,1,0.0
292,World Soccer Winning Eleven 9,1,1,0.0
294,Tekken Tag Tournament,1,1,0.0
295,Far Cry 4,1,1,1.0
296,Star Fox 64,1,1,0.0
300,Professor Layton and the Diabolical Box,0,1,0.0
301,Left 4 Dead 2,1,1,0.0
302,Namco Museum: 50th Anniversary,1,1,0.0
304,Assassin's Creed: Unity,1,1,0.0
305,Donkey Kong Land,0,1,1.0
306,Tony Hawk's Underground,1,1,0.0
307,Assassin's Creed IV: Black Flag,1,1,1.0
308,Monster Hunter 4 Ultimate,1,1,1.0
311,Tekken 5,1,1,0.0
312,Dragon Warrior III,0,1,0.0
313,Sports Champions,1,1,0.0
314,NBA 2K16,1,1,0.0
315,World Soccer Winning Eleven 8 International,1,1,0.0
316,Flash Focus: Vision Training in Minutes a Day,0,1,0.0
318,The Legend of Zelda: Link's Awakening,0,1,1.0
319,Mario & Luigi: Bowser's Inside Story,0,1,0.0
320,Big Brain Academy: Wii Degree,1,1,0.0
322,Batman: Arkham Knight,0,1,1.0
323,Mario & Sonic at the London 2012 Olympic Games,1,1,0.0
324,LEGO Indiana Jones: The Original Adventures,1,1,0.0
326,Ratchet & Clank: Size Matters,1,1,0.0
327,Just Dance 2014,0,1,0.0
328,The Sims: Unleashed,0,1,0.0
329,Super Paper Mario,0,1,1.0
331,The Witcher 3: Wild Hunt,0,1,1.0
332,Resident Evil 3: Nemesis,0,1,0.0
333,Spyro: Year of the Dragon,0,1,0.0
334,FIFA Soccer 2005,1,1,0.0
336,Battlefield 4,1,1,1.0
337,MySims,1,1,0.0
338,Friend Collection,0,1,0.0
339,Tony Hawk's Pro Skater 4,1,1,0.0
340,Midnight Club 3: DUB Edition,1,1,0.0
343,Guitar Hero: World Tour,1,1,1.0
344,Gran Turismo 6,1,1,0.0
345,Jak and Daxter: The Precursor Legacy,0,1,0.0
346,Pokemon Snap,0,1,0.0
347,FIFA Soccer 10,1,1,0.0
348,Pro Evolution Soccer 2008,1,1,0.0
350,Resident Evil 4,0,1,1.0
351,Tom Clancy's The Division,1,0,0.0
352,Star Wars: Battlefront,1,1,0.0
353,Doom II: Hell on Earth,1,1,1.0
354,The Simpsons: Road Rage,1,1,0.0
356,Luigi's Mansion,1,1,0.0
359,Croc: Legend of the Gobbos,0,1,0.0
362,Tomb Raider III: Adventures of Lara Croft,0,1,0.0
363,James Bond 007: Agent Under Fire,1,1,0.0
