Name;multiplayer;singleplayer;awarded;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;series
Wii Sports;1;1;1.0;Wii;2006.0;Sports;Nintendo;41.49;29.02;3.77;8.46;82.74;Wii
Super Mario Bros.;1;1;0.0;NES;1985.0;Platform;Nintendo;29.08;3.58;6.81;0.77;40.24;Super Mario
Super Mario Bros.;1;1;0.0;GB;1999.0;Platform;Nintendo;3.4;1.3;0.15;0.22;5.07;Super Mario
Mario Kart Wii;1;1;1.0;Wii;2008.0;Racing;Nintendo;15.85;12.88;3.79;3.31;35.82;Mario Kart
Wii Sports Resort;1;1;0.0;Wii;2009.0;Sports;Nintendo;15.75;11.01;3.28;2.96;33.0;Wii
Tetris;1;1;1.0;GB;1989.0;Puzzle;Nintendo;23.2;2.26;4.22;0.58;30.26;NO FRANCHISE
Tetris;1;1;1.0;NES;1988.0;Puzzle;Nintendo;2.97;0.69;1.81;0.11;5.58;NO FRANCHISE
New Super Mario Bros.;1;1;0.0;DS;2006.0;Platform;Nintendo;11.38;9.23;6.5;2.9;30.01;Super Mario
Wii Play;1;1;0.0;Wii;2006.0;Misc;Nintendo;14.03;9.2;2.93;2.85;29.02;Wii
New Super Mario Bros. Wii;1;1;0.0;Wii;2009.0;Platform;Nintendo;14.59;7.06;4.7;2.26;28.62;Super Mario
Duck Hunt;1;1;0.0;NES;1984.0;Shooter;Nintendo;26.93;0.63;0.28;0.47;28.31;NO FRANCHISE
Nintendogs;1;1;1.0;DS;2005.0;Simulation;Nintendo;9.07;11.0;1.93;2.75;24.76;NO FRANCHISE
Mario Kart DS;1;1;0.0;DS;2005.0;Racing;Nintendo;9.81;7.57;4.13;1.92;23.42;Mario Kart
Wii Fit;0;1;0.0;Wii;2007.0;Sports;Nintendo;8.94;8.03;3.6;2.15;22.72;Wii
Wii Fit Plus;1;1;0.0;Wii;2009.0;Sports;Nintendo;9.09;8.59;2.53;1.79;22.0;Wii
Kinect Adventures!;1;1;0.0;X360;2010.0;Misc;Microsoft Game Studios;14.97;4.94;0.24;1.67;21.82;NO FRANCHISE
Grand Theft Auto V;1;1;1.0;PS3;2013.0;Action;Take-Two Interactive;7.01;9.27;0.97;4.14;21.4;Grand Theft Auto
Grand Theft Auto V;1;1;1.0;X360;2013.0;Action;Take-Two Interactive;9.63;5.31;0.06;1.38;16.38;Grand Theft Auto
Grand Theft Auto V;1;1;1.0;PS4;2014.0;Action;Take-Two Interactive;3.8;5.81;0.36;2.02;11.98;Grand Theft Auto
Grand Theft Auto V;1;1;1.0;XOne;2014.0;Action;Take-Two Interactive;2.66;2.01;0.0;0.41;5.08;Grand Theft Auto
Grand Theft Auto V;1;1;1.0;PC;2015.0;Action;Take-Two Interactive;0.36;0.64;0.0;0.08;1.08;Grand Theft Auto
Grand Theft Auto: San Andreas;1;1;1.0;PS2;2004.0;Action;Take-Two Interactive;9.43;0.4;0.41;10.57;20.81;Grand Theft Auto
Grand Theft Auto: San Andreas;1;1;1.0;XB;2005.0;Action;Take-Two Interactive;1.26;0.61;0.0;0.09;1.95;Grand Theft Auto
Grand Theft Auto: San Andreas;1;1;1.0;PC;2005.0;Action;Take-Two Interactive;0.0;0.92;0.0;0.05;0.98;Grand Theft Auto
Grand Theft Auto: San Andreas;1;1;1.0;X360;2008.0;Action;Take-Two Interactive;0.08;0.03;0.0;0.01;0.12;Grand Theft Auto
Super Mario World;1;1;1.0;SNES;1990.0;Platform;Nintendo;12.78;3.75;3.54;0.55;20.61;Super Mario
Super Mario World;1;1;1.0;GBA;2001.0;Platform;Nintendo;3.21;1.11;0.95;0.2;5.46;Super Mario
Brain Age: Train Your Brain in Minutes a Day;1;1;0.0;DS;2005.0;Misc;Nintendo;4.75;9.26;4.16;2.05;20.22;Brain Age
Super Mario Land;0;1;0.0;GB;1989.0;Platform;Nintendo;10.83;2.71;4.18;0.42;18.14;Super Mario
Super Mario Bros. 3;1;1;1.0;NES;1988.0;Platform;Nintendo;9.54;3.44;3.84;0.46;17.28;Super Mario
Super Mario Bros. 3;1;1;1.0;GBA;2003.0;Platform;Nintendo;2.93;1.25;0.83;0.2;5.2;Super Mario
Grand Theft Auto: Vice City;0;1;1.0;PS2;2002.0;Action;Take-Two Interactive;8.41;5.49;0.47;1.78;16.15;Grand Theft Auto
Grand Theft Auto: Vice City;0;1;1.0;PC;2003.0;Action;Take-Two Interactive;0.0;0.03;0.0;0.01;0.04;Grand Theft Auto
Brain Age 2: More Training in Minutes a Day;1;1;0.0;DS;2005.0;Puzzle;Nintendo;3.44;5.36;5.32;1.18;15.3;Brain Age
Gran Turismo 3: A-Spec;1;1;1.0;PS2;2001.0;Racing;Sony Computer Entertainment;6.85;5.09;1.87;1.16;14.98;Gran Turismo
Call of Duty: Modern Warfare 3;1;1;1.0;X360;2011.0;Shooter;Activision;9.03;4.28;0.13;1.32;14.76;Call of Duty
Call of Duty: Modern Warfare 3;1;1;1.0;PS3;2011.0;Shooter;Activision;5.54;5.82;0.49;1.62;13.46;Call of Duty
Call of Duty: Modern Warfare 3;1;1;1.0;PC;2011.0;Shooter;Activision;0.41;0.98;0.0;0.33;1.72;Call of Duty
Call of Duty: Modern Warfare 3;1;1;1.0;Wii;2011.0;Shooter;Activision;0.6;0.21;0.0;0.08;0.89;Call of Duty
Pokémon Yellow: Special Pikachu Edition;1;1;0.0;GB;1998.0;Role-Playing;Nintendo;5.89;5.04;3.12;0.59;14.64;Pokémon
Call of Duty: Black Ops;1;1;0.0;X360;2010.0;Shooter;Activision;9.67;3.73;0.11;1.13;14.64;Call of Duty
Call of Duty: Black Ops;1;1;0.0;PS3;2010.0;Shooter;Activision;5.98;4.44;0.48;1.83;12.73;Call of Duty
Call of Duty: Black Ops;1;1;0.0;Wii;2010.0;Shooter;Activision;0.82;0.47;0.0;0.12;1.4;Call of Duty
Call of Duty: Black Ops;1;1;0.0;DS;2010.0;Shooter;Activision;0.54;0.05;0.0;0.04;0.63;Call of Duty
Call of Duty: Black Ops 3;1;1;1.0;PS4;2015.0;Shooter;Activision;5.77;5.81;0.35;2.31;14.24;Call of Duty
Call of Duty: Black Ops 3;1;1;1.0;XOne;2015.0;Shooter;Activision;4.52;2.09;0.01;0.67;7.3;Call of Duty
Call of Duty: Black Ops 3;1;1;1.0;PS3;2015.0;Shooter;Activision;0.49;0.96;0.07;0.27;1.79;Call of Duty
Call of Duty: Black Ops 3;1;1;1.0;X360;2015.0;Shooter;Activision;1.11;0.48;0.0;0.16;1.76;Call of Duty
Call of Duty: Black Ops 3;1;1;1.0;PC;2015.0;Shooter;Activision;0.0;0.22;0.0;0.01;0.23;Call of Duty
Call of Duty: Black Ops II;1;1;0.0;PS3;2012.0;Shooter;Activision;4.99;5.88;0.65;2.52;14.03;Call of Duty
Call of Duty: Black Ops II;1;1;0.0;X360;2012.0;Shooter;Activision;8.25;4.3;0.07;1.12;13.73;Call of Duty
Call of Duty: Black Ops II;1;1;0.0;PC;2012.0;Shooter;Activision;0.63;0.69;0.0;0.21;1.53;Call of Duty
Call of Duty: Black Ops II;1;1;0.0;WiiU;2012.0;Shooter;Activision;0.21;0.18;0.0;0.03;0.43;Call of Duty
Call of Duty: Modern Warfare 2;1;1;1.0;X360;2009.0;Shooter;Activision;8.52;3.63;0.08;1.29;13.51;Call of Duty
Call of Duty: Modern Warfare 2;1;1;1.0;PS3;2009.0;Shooter;Activision;4.99;3.69;0.38;1.63;10.69;Call of Duty
Call of Duty: Modern Warfare 2;1;1;1.0;PC;2009.0;Shooter;Activision;0.01;0.79;0.0;0.09;0.89;Call of Duty
Grand Theft Auto III;0;1;1.0;PS2;2001.0;Action;Take-Two Interactive;6.99;4.51;0.3;1.3;13.1;Grand Theft Auto
Grand Theft Auto III;0;1;1.0;PC;2002.0;Action;Take-Two Interactive;0.0;0.01;0.0;0.0;0.01;Grand Theft Auto
Super Smash Bros. Brawl;1;1;1.0;Wii;2008.0;Fighting;Nintendo;6.75;2.61;2.66;1.02;13.04;Super Smash Bros.
Animal Crossing: Wild World;1;1;0.0;DS;2005.0;Simulation;Nintendo;2.55;3.52;5.33;0.88;12.27;Animal Crossing
Mario Kart 7;1;1;0.0;3DS;2011.0;Racing;Nintendo;4.74;3.91;2.67;0.89;12.21;Mario Kart
Halo 3;1;1;0.0;X360;2007.0;Shooter;Microsoft Game Studios;7.97;2.83;0.13;1.21;12.14;Halo
Super Mario 64;1;1;1.0;N64;1996.0;Platform;Nintendo;6.91;2.85;1.91;0.23;11.89;Super Mario
Super Mario 64;1;1;1.0;DS;2004.0;Platform;Nintendo;5.08;3.11;1.25;0.98;10.42;Super Mario
Gran Turismo 4;1;1;1.0;PS2;2004.0;Racing;Sony Computer Entertainment;3.01;0.01;1.1;7.53;11.66;Gran Turismo
Super Mario Galaxy;1;1;1.0;Wii;2007.0;Platform;Nintendo;6.16;3.4;1.2;0.76;11.52;Super Mario
Super Mario Land 2: 6 Golden Coins;0;1;0.0;GB;1992.0;Adventure;Nintendo;6.16;2.04;2.69;0.29;11.18;Super Mario
Grand Theft Auto IV;1;1;1.0;X360;2008.0;Action;Take-Two Interactive;6.76;3.1;0.14;1.03;11.02;Grand Theft Auto
Grand Theft Auto IV;1;1;1.0;PS3;2008.0;Action;Take-Two Interactive;4.76;3.76;0.44;1.62;10.57;Grand Theft Auto
Grand Theft Auto IV;1;1;1.0;PC;2008.0;Action;Take-Two Interactive;0.01;0.79;0.0;0.08;0.88;Grand Theft Auto
Super Mario 3D Land;0;1;0.0;3DS;2011.0;Platform;Nintendo;4.89;2.99;2.13;0.78;10.79;Super Mario
Gran Turismo 5;1;1;1.0;PS3;2010.0;Racing;Sony Computer Entertainment;2.96;4.88;0.81;2.12;10.77;Gran Turismo
Super Mario All-Stars;1;1;0.0;SNES;1993.0;Platform;Nintendo;5.99;2.15;2.12;0.29;10.55;Super Mario
Call of Duty: Ghosts;1;1;0.0;X360;2013.0;Shooter;Activision;6.72;2.63;0.04;0.82;10.21;Call of Duty
Call of Duty: Ghosts;1;1;0.0;PS3;2013.0;Shooter;Activision;4.09;3.73;0.38;1.38;9.59;Call of Duty
Call of Duty: Ghosts;1;1;0.0;PS4;2013.0;Shooter;Activision;1.78;1.42;0.05;0.38;3.63;Call of Duty
Call of Duty: Ghosts;1;1;0.0;XOne;2013.0;Shooter;Activision;1.87;0.77;0.0;0.22;2.86;Call of Duty
Call of Duty: Ghosts;1;1;0.0;PC;2013.0;Shooter;Activision;0.23;0.41;0.0;0.09;0.73;Call of Duty
Call of Duty: Ghosts;1;1;0.0;WiiU;2013.0;Shooter;Activision;0.23;0.09;0.01;0.03;0.36;Call of Duty
Halo: Reach;1;1;1.0;X360;2010.0;Shooter;Microsoft Game Studios;7.03;1.98;0.08;0.78;9.88;Halo
Mario Kart 64;1;1;0.0;N64;1996.0;Racing;Nintendo;5.55;1.94;2.23;0.15;9.87;Mario Kart
New Super Mario Bros. 2;1;1;0.0;3DS;2012.0;Platform;Nintendo;3.66;3.07;2.47;0.63;9.82;Super Mario
Halo 4;1;1;1.0;X360;2012.0;Shooter;Microsoft Game Studios;6.63;2.36;0.04;0.73;9.76;Halo
Final Fantasy VII;0;1;1.0;PS;1997.0;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;Final Fantasy
Just Dance 2;1;1;0.0;Wii;2010.0;Misc;Ubisoft;5.84;2.89;0.01;0.78;9.52;Just Dance
Gran Turismo 2;1;1;0.0;PS;1999.0;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49;Gran Turismo
Call of Duty 4: Modern Warfare;1;1;1.0;X360;2007.0;Shooter;Activision;5.91;2.38;0.13;0.9;9.32;Call of Duty
Call of Duty 4: Modern Warfare;1;1;1.0;PS3;2007.0;Shooter;Activision;3.1;2.3;0.28;1.04;6.72;Call of Duty
Call of Duty 4: Modern Warfare;1;1;1.0;PC;2007.0;Shooter;Activision;0.0;1.12;0.0;0.03;1.15;Call of Duty
Call of Duty 4: Modern Warfare;1;1;1.0;DS;2007.0;Shooter;Activision;0.96;0.02;0.01;0.08;1.06;Call of Duty
Donkey Kong Country;1;1;1.0;SNES;1994.0;Platform;Nintendo;4.36;1.71;3.0;0.23;9.3;Donkey Kong
