,Name,multiplayer,singleplayer,awarded,Global_Sales,Genre__Action-Adventure,Genre__Adventure,Genre__Board+Game,Genre__Education,Genre__Fighting,Genre__MMO,Genre__Misc,Genre__Music,Genre__Party,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Genre__Visual+Novel,Meta_Critic_Score,Meta_User_Score,N_Critic_Reviews,N_User_Reviews,Platform_PC,Platform_N64,Platform_PlayStation,Platform_DC,Platform_PS2,Platform_XB,Platform_GBA,Platform_GC,Platform_NDS,Platform_X360,Platform_PSP,Platform_NWii,Platform_PS3,Platform_3DS,Platform_PSV,Platform_WiiU,Platform_PS4,Platform_XOne,Platform_NS,Platform_PS5,Platform_XS,Platform_ST,Publisher_class,Developer_class,IP_class,Sales_label_q4,Sales_label_q10
0,Wii Sports,1,1,1.0,82.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,76.0,8.1,51,159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
1,Mario Kart Wii,1,1,1.0,35.98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82.0,8.4,73,352,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
2,Wii Sports Resort,1,1,0.0,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.0,8.2,73,93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
3,Tetris,1,1,1.0,35.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,82.5,7.5,18,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,9
4,New Super Mario Bros.,1,1,0.0,29.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89.0,8.5,65,184,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
5,Wii Play,1,1,0.0,28.92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58.0,6.6,41,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
6,New Super Mario Bros. Wii,1,1,0.0,28.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87.0,8.3,80,199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
7,Mario Kart DS,1,1,0.0,23.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91.0,8.7,64,218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,9
8,Wii Fit,0,1,0.0,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.0,7.7,63,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
9,Wii Fit Plus,1,1,0.0,21.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80.0,7.5,33,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,3,9
10,Kinect Adventures!,1,1,0.0,22.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.0,6.3,45,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9
11,Grand Theft Auto V,1,1,1.0,65.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8,8.120000000000001,245,3937,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,1,2,3,9
12,Grand Theft Auto: San Andreas,1,1,0.0,23.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.66666666666669,8.933333333333332,185,1094,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,9
13,Grand Theft Auto: Vice City,0,1,1.0,16.189999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,8.8,92,510,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,9
