,Name,Platform,Genre,Global_Sales
16497,Wii Fit,Wii,Sports,22.7
8526,Kinect Adventures!,X360,Party,22.1
16498,Wii Fit Plus,Wii,Sports,21.81
0,Grand Theft Auto: San Andreas,PS2,Action,20.81
8565,Super Mario World,SNES,Platform,20.61
1,Grand Theft Auto V,PS3,Action,20.32
6238,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,20.16
2,Grand Theft Auto V,PS4,Action,19.39
11920,Pokemon Diamond / Pearl Version,DS,Role-Playing,18.25
8566,Super Mario Land,GB,Platform,18.14
8567,Super Mario Bros. 3,NES,Platform,17.28
3,Grand Theft Auto: Vice City,PS2,Action,16.15
11921,Pokemon X/Y,3DS,Role-Playing,16.13
4,Grand Theft Auto V,X360,Action,15.86
11922,Pokemon Ruby / Sapphire Version,GBA,Role-Playing,15.85
10423,Mario Kart 7,3DS,Racing,15.49
6239,Brain Age 2: More Training in Minutes a Day,DS,Misc,15.29
11923,Pokemon Black / White Version,DS,Role-Playing,15.18
11924,Pokemon Sun/Moon,3DS,Role-Playing,15.17
13716,Call of Duty: Black Ops 3,PS4,Shooter,15.09
10424,Gran Turismo 3: A-Spec,PS2,Racing,14.98
13717,Call of Duty: Modern Warfare 3,X360,Shooter,14.82
13718,Call of Duty: Black Ops,X360,Shooter,14.74
11925,Pokemon Yellow: Special Pikachu Edition,GB,Role-Playing,14.64
3002,Red Dead Redemption 2,PS4,Action-Adventure,13.94
13719,Call of Duty: Black Ops II,X360,Shooter,13.86
13720,Call of Duty: Black Ops II,PS3,Shooter,13.8
13721,Call of Duty: Modern Warfare 2,X360,Shooter,13.53
13722,Call of Duty: WWII,PS4,Shooter,13.4
13723,Call of Duty: Modern Warfare 3,PS3,Shooter,13.35
5,Grand Theft Auto III,PS2,Action,13.1
10425,Mario Kart 8 Deluxe,NS,Racing,13.05
5282,Super Smash Bros. Brawl,Wii,Fighting,12.91
11926,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,12.73
13724,Call of Duty: Black Ops,PS3,Shooter,12.67
15311,Animal Crossing: Wild World,DS,Simulation,12.14
13725,Halo 3,X360,Shooter,12.13
8568,Super Mario 64,N64,Platform,11.89
16499,FIFA 18,PS4,Sports,11.8
11927,Pokemon Heart Gold / Soul Silver Version,DS,Role-Playing,11.78
8569,Super Mario Odyssey,NS,Platform,11.71
10426,Gran Turismo 4,PS2,Racing,11.66
8570,Super Mario 3D Land,3DS,Platform,11.56
8571,Super Mario Galaxy,Wii,Platform,11.4
8572,New Super Mario Bros. 2,3DS,Platform,11.33
8573,Super Mario Land 2: 6 Golden Coins,GB,Platform,11.18
6,Grand Theft Auto IV,X360,Action,11.09
10427,Gran Turismo,PS,Racing,10.95
16500,FIFA 17,PS4,Sports,10.94
15312,Animal Crossing: New Leaf,3DS,Simulation,10.9
10428,Gran Turismo 5,PS3,Racing,10.75
13726,Call of Duty: Modern Warfare 2,PS3,Shooter,10.61
7,Grand Theft Auto IV,PS3,Action,10.57
8574,Super Mario All-Stars,SNES,Platform,10.55
11928,Pokemon FireRed / LeafGreen Version,GBA,Role-Playing,10.49
13727,Call of Duty: Ghosts,X360,Shooter,10.41
8,Uncharted 4: A Thief's End,PS4,Action,10.33
6240,Just Dance 3,Wii,Misc,10.14
13728,Call of Duty: Ghosts,PS3,Shooter,10.13
13729,Halo: Reach,X360,Shooter,9.97
13730,Halo 4,X360,Shooter,9.96
10429,Mario Kart 64,N64,Racing,9.87
6241,Minecraft,X360,Misc,9.82
11929,Final Fantasy VII,PS,Role-Playing,9.72
10430,Gran Turismo 2,PS,Racing,9.49
3003,The Legend of Zelda: Breath of the Wild,NS,Action-Adventure,9.46
6242,Just Dance 2,Wii,Misc,9.45
13731,Call of Duty 4: Modern Warfare,X360,Shooter,9.41
13732,Call of Duty: Black Ops IIII,PS4,Shooter,9.32
8575,Donkey Kong Country,SNES,Platform,9.3
16501,FIFA 19,PS4,Sports,9.15
5283,Super Smash Bros. Ultimate,NS,Fighting,8.95
6243,Mario Party DS,DS,Misc,8.93
11930,The Elder Scrolls V: Skyrim,X360,Role-Playing,8.88
3004,Marvel's Spider-Man,PS4,Action-Adventure,8.76
10431,Super Mario Kart,SNES,Racing,8.76
9,Grand Theft Auto V,XOne,Action,8.72
13733,Halo 2,XB,Shooter,8.49
13734,Call of Duty: Infinite Warfare,PS4,Shooter,8.48
11931,Fallout 4,PS4,Role-Playing,8.48
6244,Wii Party,Wii,Misc,8.41
5284,Super Smash Bros. for 3DS,3DS,Fighting,8.32
6245,Mario Party 8,Wii,Misc,8.3
16502,FIFA 16,PS4,Sports,8.22
11932,Pokemon Black 2 and White 2,DS,Role-Playing,8.16
13735,GoldenEye 007,N64,Shooter,8.09
11933,Final Fantasy X,PS2,Role-Playing,8.05
13736,Star Wars Battlefront (2015),PS4,Shooter,8.03
16503,FIFA 13,PS3,Sports,8.01
16504,Mario & Sonic at the Olympic Games,Wii,Sports,8.0
15313,The Sims 3,PC,Simulation,7.96
11934,Final Fantasy VIII,PS,Role-Playing,7.86
9664,Pac-Man,2600,Puzzle,7.81
10,Grand Theft Auto: Liberty City Stories,PSP,Action,7.72
11935,Pokemon Platinum Version,DS,Role-Playing,7.72
10432,Mario Kart 8,WiiU,Racing,7.69
3293,The Legend of Zelda: Ocarina of Time,N64,Adventure,7.6
8576,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,7.58
8577,Super Mario Galaxy 2,Wii,Platform,7.57
13737,Call of Duty: Advanced Warfare,PS4,Shooter,7.53
13738,Call of Duty: World at War,X360,Shooter,7.5
