,Name,Global_Sales,Score_pro,Score_user,N_pro,N_user,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,PC,nintendo,playstation,xbox
0,Grand Theft Auto: San Andreas,1.95,9.3,8.8,58,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Grand Theft Auto: San Andreas,0.97,9.3,8.9,47,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Grand Theft Auto: Vice City,0.04,9.4,8.8,30,2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Grand Theft Auto III,0.01,9.3,8.2,20,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Grand Theft Auto IV,0.87,9.0,7.0,40,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Grand Theft Auto: Liberty City Stories,7.72,8.8,7.8,65,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Grand Theft Auto: Liberty City Stories,3.54,7.8,7.9,49,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Metal Gear Solid 4: Guns of the Patriots,6.0,9.4,8.8,82,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,LEGO Star Wars: The Complete Saga,5.66,8.0,8.7,17,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,LEGO Star Wars: The Complete Saga,4.77,8.0,6.5,9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,LEGO Star Wars: The Complete Saga,2.59,8.0,8.0,24,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,LEGO Star Wars: The Complete Saga,2.31,8.0,7.3,18,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Assassin's Creed II,0.54,8.6,7.4,22,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,Batman: Arkham City,0.52,9.1,8.7,27,2734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,Resident Evil 5,5.1,8.4,7.4,76,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
