Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;series;multiplayer;singleplayer;awarded
175;Final Fantasy X-2;PS2;2003.0;Role-Playing;Electronic Arts;1.92;1.08;2.11;0.17;5.29;Final Fantasy;1;1;0.0
176;Donkey Kong 64;N64;1999.0;Platform;Nintendo;3.33;0.79;1.09;0.06;5.27;Donkey Kong;1;1;0.0
177;Assassin's Creed II;X360;2009.0;Action;Ubisoft;3.1;1.56;0.08;0.51;5.27;Assassin's Creed;1;1;1.0
178;Professor Layton and the Curious Village;DS;2007.0;Puzzle;Nintendo;1.22;2.48;1.03;0.52;5.26;Professor Layton;1;1;0.0
179;Tomb Raider II;PS;1997.0;Action;Eidos Interactive;2.3;2.46;0.2;0.28;5.24;Tomb Raider;0;1;0.0
180;Madden NFL 2004;PS2;;Sports;Electronic Arts;4.26;0.26;0.01;0.71;5.23;Madden NFL;0;1;0.0
181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004.0;Role-Playing;Square Enix;0.65;0.75;3.61;0.2;5.21;Dragon Quest;1;1;0.0
182;Diablo III;PC;2012.0;Role-Playing;Activision;2.43;2.15;0.0;0.62;5.2;Diablo;1;0;0.0
183;Super Mario Bros. 3;GBA;2003.0;Platform;Nintendo;2.93;1.25;0.83;0.2;5.2;Super Mario;0;1;0.0
184;New Super Mario Bros. U;WiiU;2012.0;Platform;Nintendo;2.32;1.3;1.27;0.31;5.19;Super Mario;1;1;1.0
185;Super Mario Land 3: Wario Land;GB;1994.0;Platform;Nintendo;2.49;0.98;1.57;0.15;5.19;Wario;1;1;1.0
186;FIFA Soccer 13;X360;2012.0;Action;Electronic Arts;1.08;3.48;0.03;0.58;5.18;FIFA;1;1;1.0
187;The Legend of Zelda: Phantom Hourglass;DS;2007.0;Action;Nintendo;1.9;1.83;0.95;0.49;5.17;The Legend of Zelda;0;1;1.0
188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995.0;Platform;Nintendo;2.1;0.74;2.2;0.11;5.15;Donkey Kong;1;1;0.0
189;Tomodachi Life;3DS;2013.0;Simulation;Nintendo;0.96;2.02;1.89;0.28;5.15;NO FRANCHISE;1;1;0.0
190;Mario & Sonic at the Olympic Games;DS;2008.0;Sports;Sega;1.64;2.48;0.44;0.58;5.14;Mario & Sonic;0;1;1.0
191;Medal of Honor: Rising Sun;PS2;2003.0;Shooter;Electronic Arts;1.98;2.23;0.13;0.8;5.13;Medal of Honor;1;1;0.0
192;Kirby's Dream Land;GB;1992.0;Platform;Nintendo;2.71;0.61;1.7;0.11;5.13;Kirby;1;1;0.0
193;Fable III;X360;2010.0;Role-Playing;Microsoft Game Studios;3.59;1.11;0.05;0.38;5.13;Fable;1;1;1.0
194;Call of Duty: Advanced Warfare;XOne;2014.0;Shooter;Activision;3.21;1.53;0.01;0.38;5.13;Call of Duty;1;1;0.0
195;Microsoft Flight Simulator;PC;1996.0;Simulation;Microsoft Game Studios;3.22;1.69;0.0;0.2;5.12;Microsoft Flight Simulator;1;1;0.0
196;Guitar Hero II;PS2;2006.0;Misc;RedOctane;3.81;0.63;0.0;0.68;5.12;Guitar Hero;1;1;0.0
197;Resident Evil 5;PS3;2009.0;Action;Capcom;1.96;1.43;1.08;0.65;5.11;Resident Evil;0;1;0.0
198;Grand Theft Auto V;XOne;2014.0;Action;Take-Two Interactive;2.66;2.01;0.0;0.41;5.08;Grand Theft Auto;1;1;0.0
199;Grand Theft Auto: Vice City Stories;PSP;2006.0;Action;Take-Two Interactive;1.7;2.02;0.16;1.21;5.08;Grand Theft Auto;0;1;0.0
